n_train_trials,median,mean,std,min,max
2,0.3208333333333333,0.3069444444444444,0.05956050456219877,0.24166666666666667,0.3583333333333333
5,0.5541666666666667,0.6986111111111111,0.3059120395243148,0.4916666666666667,1.05
10,2.0625,2.0,0.49670791215763826,1.475,2.4625000000000004
20,2.425,2.6041666666666665,0.5494473233269146,2.166666666666667,3.220833333333333
50,5.3916666666666675,5.522222222222222,0.4882709952626872,5.1125,6.0625
