stage,lead_s,seed,tag,config_id,name,n_res,sr,leak,ridge,washout,lead_n,pred_n,win_s,rel_deg,amp_pred_deg,amp_leadend_deg,horizon,censored,horizon_strict,censored_strict,n_nonfinite,rms
Stage1,2.0,42,1430,nres300_sr0.95_leak0.3_ridge0.001_wo50,canonical-real,300,0.95,0.3,0.001,50,119,239,3.984989726530003,101.26100730441047,95.39489224706035,101.26100730441047,0.06669438872853561,0,0.06669438872853561,0,0,135.04182352142314
Stage1,2.0,42,1431,nres300_sr0.95_leak0.3_ridge0.001_wo50,canonical-real,300,0.95,0.3,0.001,50,119,239,3.985008439180792,87.1304493646118,87.1304493646118,84.30174161217842,0.0833683773887195,0,0.0833683773887195,0,0,133.7828888123867
Stage1,2.0,42,1432,nres300_sr0.95_leak0.3_ridge0.001_wo50,canonical-real,300,0.95,0.3,0.001,50,119,239,3.9850081978049943,111.18471406918472,107.32876540216553,111.18471406918472,0.08336837233901662,0,0.08336837233901662,0,0,107.27731161759475
Stage1,2.0,42,1434,nres300_sr0.95_leak0.3_ridge0.001_wo50,canonical-real,300,0.95,0.3,0.001,50,119,239,3.9849956424816355,106.94602653932782,88.0954593536442,106.94602653932782,0.050020865805208814,0,0.050020865805208814,0,0,97.85325543141043
Stage1,2.0,42,1435,nres300_sr0.95_leak0.3_ridge0.001_wo50,canonical-real,300,0.95,0.3,0.001,50,119,239,3.9849863619537844,103.77854678324493,98.61242450940149,103.77854678324493,0.0833679155220457,0,0.0833679155220457,0,0,112.4942812088728
Stage1,2.0,42,1436,nres300_sr0.95_leak0.3_ridge0.001_wo50,canonical-real,300,0.95,0.3,0.001,50,119,239,3.9849912022463343,97.58227372119343,86.70472436387544,97.58227372119343,0.05002081007003767,0,0.05002081007003767,0,0,109.97683605335003
Stage1,2.0,42,1437,nres300_sr0.95_leak0.3_ridge0.001_wo50,canonical-real,300,0.95,0.3,0.001,50,119,239,3.9849826925193383,73.29549428049998,70.95606480757367,73.29549428049998,0.1667356775112694,0,0.1667356775112694,0,0,8.608146955449161
Stage1,2.0,42,1438,nres300_sr0.95_leak0.3_ridge0.001_wo50,canonical-real,300,0.95,0.3,0.001,50,119,239,3.9850051391872228,97.84590892438413,78.07187389601818,97.84590892438413,0.0666946466809577,0,0.0666946466809577,0,0,125.72159982934029
Stage1,2.0,42,1439,nres300_sr0.95_leak0.3_ridge0.001_wo50,canonical-real,300,0.95,0.3,0.001,50,119,239,3.9849955488770092,66.5566778003688,66.5566778003688,40.26476715774943,1.0837854003221992,0,1.0837854003221992,0,0,33.48154923547115
Stage1,2.0,42,1440,nres300_sr0.95_leak0.3_ridge0.001_wo50,canonical-real,300,0.95,0.3,0.001,50,119,239,3.985005507920164,92.36692089454493,92.36692089454493,87.52190834708216,0.0833683160652754,0,0.0833683160652754,0,0,120.55852295004335
Stage1,2.0,42,1441,nres300_sr0.95_leak0.3_ridge0.001_wo50,canonical-real,300,0.95,0.3,0.001,50,119,239,3.9850009753608893,77.42647300065325,73.86720093700067,77.42647300065325,0.10004186549023153,0,0.10004186549023153,0,0,97.82403791320299
Stage1,2.0,42,1442,nres300_sr0.95_leak0.3_ridge0.001_wo50,canonical-real,300,0.95,0.3,0.001,50,119,239,3.9850051991743385,85.81743922862228,69.22458562619146,85.81743922862228,0.10004197152738925,0,0.10004197152738925,0,0,63.544600779049354
Stage1,2.0,42,1443,nres300_sr0.95_leak0.3_ridge0.001_wo50,canonical-real,300,0.95,0.3,0.001,50,119,239,3.98498499387874,81.23591153973615,76.98789135625837,81.23591153973615,0.10004146428147465,0,0.10004146428147465,0,0,60.93864063731421
Stage1,2.0,42,1444,nres300_sr0.95_leak0.3_ridge0.001_wo50,canonical-real,300,0.95,0.3,0.001,50,119,239,3.984994361395678,50.8340099295571,50.061940293967496,50.8340099295571,2.2009173878838055,0,2.2009173878838055,0,0,8.845977566888303
Stage1,2.0,42,1445,nres300_sr0.95_leak0.3_ridge0.001_wo50,canonical-real,300,0.95,0.3,0.001,50,119,239,3.9849878163605013,47.25339057812756,47.25339057812756,42.656137095121785,0.4835340865039939,0,0.4835340865039939,0,0,11.333829508658146
Stage1,2.0,42,1446,nres300_sr0.95_leak0.3_ridge0.001_wo50,canonical-real,300,0.95,0.3,0.001,50,119,239,3.9849902128698886,83.38159433721623,83.04619868425209,83.38159433721623,0.10004159530217294,0,0.10004159530217294,0,0,53.1951479510113
Stage1,2.0,42,1447,nres300_sr0.95_leak0.3_ridge0.001_wo50,canonical-real,300,0.95,0.3,0.001,50,119,239,3.9849844120865896,81.89721341451065,79.70205488136104,81.89721341451065,0.41683937364922485,0,0.41683937364922485,0,0,42.94473308039186
Stage1,2.0,42,1448,nres300_sr0.95_leak0.3_ridge0.001_wo50,canonical-real,300,0.95,0.3,0.001,50,119,239,3.98499898628954,66.40461687758344,62.90341633228148,66.40461687758344,0.10004181555538594,0,0.10004181555538594,0,0,63.663752661186734
Stage1,2.0,42,1449,nres300_sr0.95_leak0.3_ridge0.001_wo50,canonical-real,300,0.95,0.3,0.001,50,119,239,3.9849958001944774,75.63886890830787,69.74251491455813,75.63886890830787,0.05002086778486792,0,0.05002086778486792,0,0,77.72282267425781
Stage1,2.0,42,1450,nres300_sr0.95_leak0.3_ridge0.001_wo50,canonical-real,300,0.95,0.3,0.001,50,119,239,3.984992390868854,74.13916690570532,67.03139845590019,74.13916690570532,0.10004164997997123,0,0.10004164997997123,0,0,126.12594904905426
Stage1,2.0,42,1451,nres300_sr0.95_leak0.3_ridge0.001_wo50,canonical-real,300,0.95,0.3,0.001,50,119,239,3.985005803037957,74.19936385103162,64.95312020429262,74.19936385103162,0.0833683222392878,0,0.0833683222392878,0,0,116.59776337079423
Stage1,2.0,42,1452,nres300_sr0.95_leak0.3_ridge0.001_wo50,canonical-real,300,0.95,0.3,0.001,50,119,239,3.9849834009052927,70.04543290946849,68.89228451983683,70.04543290946849,0.08336785357542453,0,0.08336785357542453,0,0,79.05030670566553
Stage1,2.0,42,1453,nres300_sr0.95_leak0.3_ridge0.001_wo50,canonical-real,300,0.95,0.3,0.001,50,119,239,3.984990179087653,38.23791350685693,36.625502057549426,38.23791350685693,3.984990179087653,1,3.984990179087653,1,0,5.032402128357136
Stage1,2.0,42,1454,nres300_sr0.95_leak0.3_ridge0.001_wo50,canonical-real,300,0.95,0.3,0.001,50,119,239,3.9849962049334433,90.56120790760053,90.56120790760053,78.29642003805763,0.15006261859582004,0,0.15006261859582004,0,0,145.95662408757164
