lead_s,config_id,name,model,esn_median,esn_n_censored,esn_cens_rate,esn_median_is_lower_bound,ctrl_median,ctrl_n_censored,ratio,ratio_is_upper_bound
2.0,nres800_sr0.95_leak0.25_ridge1e-05_wo50,paper-ESN(w50),Hybrid,0.13338908740718125,1,0.034482758620689655,1,0.6002789473683379,0,4.500210317324809,1
2.0,nres800_sr0.95_leak0.25_ridge1e-05_wo50,paper-ESN(w50),MLP,0.13338908740718125,1,0.034482758620689655,1,0.3334713550225388,0,2.4999897780587537,1
2.0,nres800_sr0.95_leak0.25_ridge1e-05_wo200,paper-ESN(w200),PINN,0.13338908740718125,1,0.034482758620689655,1,0.3334724387013921,0,2.499997902252977,1
2.0,nres800_sr0.95_leak0.25_ridge1e-05_wo200,paper-ESN(w200),Hybrid,0.13338908740718125,1,0.034482758620689655,1,0.6002789473683379,0,4.500210317324809,1
2.0,nres800_sr0.95_leak0.25_ridge1e-05_wo200,paper-ESN(w200),MLP,0.13338908740718125,1,0.034482758620689655,1,0.3334713550225388,0,2.4999897780587537,1
2.0,nres800_sr1.1_leak0.25_ridge1e-06_wo50,,PINN,0.1333889943073956,1,0.034482758620689655,1,0.3334724387013921,0,2.4999996471440755,1
2.0,nres800_sr1.1_leak0.25_ridge1e-06_wo50,,Hybrid,0.1333889943073956,1,0.034482758620689655,1,0.6002789473683379,0,4.500213458278215,1
2.0,nres800_sr1.1_leak0.25_ridge1e-06_wo50,,MLP,0.1333889943073956,1,0.034482758620689655,1,0.3334713550225388,0,2.4999915229441823,1
2.0,nres800_sr0.7_leak0.25_ridge0.0001_wo50,,PINN,0.1333886190419662,0,0.0,0,0.3334724387013921,0,2.5000066804535725,0
2.0,nres800_sr0.7_leak0.25_ridge0.0001_wo50,,Hybrid,0.1333886190419662,0,0.0,0,0.6002789473683379,0,4.500226118837624,0
2.0,nres800_sr0.7_leak0.25_ridge0.0001_wo50,,MLP,0.1333886190419662,0,0.0,0,0.3334713550225388,0,2.4999985562308233,0
2.0,nres800_sr1.1_leak0.1_ridge1e-08_wo50,,PINN,0.1333886190419662,0,0.0,0,0.3334724387013921,0,2.5000066804535725,0
2.0,nres800_sr1.1_leak0.1_ridge1e-08_wo50,,Hybrid,0.1333886190419662,0,0.0,0,0.6002789473683379,0,4.500226118837624,0
2.0,nres800_sr1.1_leak0.1_ridge1e-08_wo50,,MLP,0.1333886190419662,0,0.0,0,0.3334713550225388,0,2.4999985562308233,0
2.0,nres800_sr1.1_leak0.1_ridge1e-06_wo50,,PINN,0.1333886190419662,0,0.0,0,0.3334724387013921,0,2.5000066804535725,0
2.0,nres800_sr1.1_leak0.1_ridge1e-06_wo50,,Hybrid,0.1333886190419662,0,0.0,0,0.6002789473683379,0,4.500226118837624,0
2.0,nres800_sr1.1_leak0.1_ridge1e-06_wo50,,MLP,0.1333886190419662,0,0.0,0,0.3334713550225388,0,2.4999985562308233,0
2.0,nres1600_sr0.9_leak0.25_ridge1e-06_wo50,,PINN,0.11672090643273236,0,0.0,0,0.3334724387013921,0,2.8570069312610777,0
2.0,nres1600_sr0.9_leak0.25_ridge1e-06_wo50,,Hybrid,0.11672090643273236,0,0.0,0,0.6002789473683379,0,5.142857142857143,0
2.0,nres1600_sr0.9_leak0.25_ridge1e-06_wo50,,MLP,0.11672090643273236,0,0.0,0,0.3334713550225388,0,2.856997646901605,0
2.0,nres1600_sr0.95_leak0.25_ridge1e-06_wo50,,PINN,0.11672090643273236,0,0.0,0,0.3334724387013921,0,2.8570069312610777,0
2.0,nres1600_sr0.95_leak0.25_ridge1e-06_wo50,,Hybrid,0.11672090643273236,0,0.0,0,0.6002789473683379,0,5.142857142857143,0
2.0,nres1600_sr0.95_leak0.25_ridge1e-06_wo50,,MLP,0.11672090643273236,0,0.0,0,0.3334713550225388,0,2.856997646901605,0
2.0,nres800_sr0.9_leak0.25_ridge0.0001_wo50,,PINN,0.11671999268673972,0,0.0,0,0.3334724387013921,0,2.857029297426242,0
2.0,nres800_sr0.9_leak0.25_ridge0.0001_wo50,,Hybrid,0.11671999268673972,0,0.0,0,0.6002789473683379,0,5.142897403869818,0
2.0,nres800_sr0.9_leak0.25_ridge0.0001_wo50,,MLP,0.11671999268673972,0,0.0,0,0.3334713550225388,0,2.8570200129940866,0
2.0,nres800_sr0.95_leak0.25_ridge0.0001_wo50,,PINN,0.11671999268673972,0,0.0,0,0.3334724387013921,0,2.857029297426242,0
2.0,nres800_sr0.95_leak0.25_ridge0.0001_wo50,,Hybrid,0.11671999268673972,0,0.0,0,0.6002789473683379,0,5.142897403869818,0
2.0,nres800_sr0.95_leak0.25_ridge0.0001_wo50,,MLP,0.11671999268673972,0,0.0,0,0.3334713550225388,0,2.8570200129940866,0
2.0,nres800_sr1.1_leak0.25_ridge0.0001_wo50,,PINN,0.11671999268673972,1,0.034482758620689655,1,0.3334724387013921,0,2.857029297426242,1
2.0,nres800_sr1.1_leak0.25_ridge0.0001_wo50,,Hybrid,0.11671999268673972,1,0.034482758620689655,1,0.6002789473683379,0,5.142897403869818,1
2.0,nres800_sr1.1_leak0.25_ridge0.0001_wo50,,MLP,0.11671999268673972,1,0.034482758620689655,1,0.3334713550225388,0,2.8570200129940866,1
2.0,nres800_sr0.7_leak1.0_ridge0.0001_wo50,,PINN,0.11671566296881508,1,0.034482758620689655,1,0.3334724387013921,0,2.8571352826097693,1
2.0,nres800_sr0.7_leak1.0_ridge0.0001_wo50,,Hybrid,0.11671566296881508,1,0.034482758620689655,1,0.6002789473683379,0,5.1430881862764615,1
2.0,nres800_sr0.7_leak1.0_ridge0.0001_wo50,,MLP,0.11671566296881508,1,0.034482758620689655,1,0.3334713550225388,0,2.857125997833196,1
2.0,nres800_sr0.7_leak1.0_ridge1e-06_wo50,,PINN,0.11671565113500293,0,0.0,0,0.3334724387013921,0,2.8571355722950167,0
