stage,lead_s,seed,config_id,name,n_res,sr,leak,ridge,washout,n_clips,median,q1,q3,mean,n_censored,cens_rate,median_estimable,median_is_lower_bound,median_strict,n_censored_strict,n_clips_nonfinite,rms_median,median_uncens,rank_in_lead
Stage1,2.0,42,nres800_sr0.7_leak0.25_ridge1e-06_wo50,,800,0.7,0.25,1e-06,50,29,0.13338908740718125,0.0833683160652754,0.1667362428842445,0.31794918227652785,1,0.034482758620689655,1,1,0.13338908740718125,1,0,96.64483276164864,0.13338890324064323,11.0
Stage1,2.0,42,nres800_sr0.95_leak0.25_ridge1e-05_wo50,paper-ESN(w50),800,0.95,0.25,1e-05,50,29,0.13338908740718125,0.10004164997997123,0.23343132593763016,0.37371958503374453,1,0.034482758620689655,1,1,0.13338908740718125,1,0,81.66254532456719,0.12505454004696048,11.0
Stage1,2.0,42,nres800_sr0.95_leak0.25_ridge1e-05_wo200,paper-ESN(w200),800,0.95,0.25,1e-05,200,29,0.13338908740718125,0.10004164997997123,0.23343132593763016,0.37371958503374453,1,0.034482758620689655,1,1,0.13338908740718125,1,0,81.66254532456719,0.12505454004696048,11.0
Stage1,2.0,42,nres800_sr1.1_leak0.25_ridge1e-06_wo50,,800,1.1,0.25,1e-06,50,29,0.1333889943073956,0.10004153930557891,0.2334299900111887,0.4116663025767378,1,0.034482758620689655,1,1,0.1333889943073956,1,0,81.19141602244224,0.12505232863810534,14.0
Stage1,2.0,42,nres800_sr0.7_leak0.25_ridge0.0001_wo50,,800,0.7,0.25,0.0001,50,29,0.1333886190419662,0.10004153930557891,0.21675641929610379,0.3076001392993616,0,0.0,1,0,0.1333886190419662,0,0,99.39889771051243,0.1333886190419662,15.0
Stage1,2.0,42,nres800_sr1.1_leak0.1_ridge1e-08_wo50,,800,1.1,0.1,1e-08,50,29,0.1333886190419662,0.0833683773887195,0.18341856725143657,0.28977658625977865,0,0.0,1,0,0.1333886190419662,0,0,104.71874469143246,0.1333886190419662,15.0
Stage1,2.0,42,nres800_sr1.1_leak0.1_ridge1e-06_wo50,,800,1.1,0.1,1e-06,50,29,0.1333886190419662,0.10004153930557891,0.20008318890816668,0.306450418432433,0,0.0,1,0,0.1333886190419662,0,0,76.25464668106305,0.1333886190419662,15.0
Stage1,2.0,42,nres1600_sr0.9_leak0.25_ridge1e-06_wo50,,1600,0.9,0.25,1e-06,50,29,0.11672090643273236,0.08336830960615771,0.20008281301352326,0.2800023767716069,0,0.0,1,0,0.11672090643273236,0,0,102.5430052965981,0.11672090643273236,18.0
Stage1,2.0,42,nres1600_sr0.95_leak0.25_ridge1e-06_wo50,,1600,0.95,0.25,1e-06,50,29,0.11672090643273236,0.08336830960615771,0.20008281301352326,0.27770261003689195,0,0.0,1,0,0.11672090643273236,0,0,101.47471437004641,0.11672090643273236,18.0
Stage1,2.0,42,nres800_sr0.9_leak0.25_ridge0.0001_wo50,,800,0.9,0.25,0.0001,50,29,0.11671999268673972,0.10004149862645484,0.20008373098046306,0.3305982464688601,0,0.0,1,0,0.11671999268673972,0,0,95.17000787145786,0.11671999268673972,20.0
Stage1,2.0,42,nres800_sr0.95_leak0.25_ridge0.0001_wo50,,800,0.95,0.25,0.0001,50,29,0.11671999268673972,0.10004149862645484,0.20008373098046306,0.33059822714351567,0,0.0,1,0,0.11671999268673972,0,0,89.52805596791418,0.11671999268673972,20.0
Stage1,2.0,42,nres800_sr1.1_leak0.25_ridge0.0001_wo50,,800,1.1,0.25,0.0001,50,29,0.11671999268673972,0.10004149862645484,0.20008319060434587,0.3587707938667626,1,0.034482758620689655,1,1,0.11671999268673972,1,0,99.0130555050449,0.1167178605154735,20.0
Stage1,2.0,42,nres800_sr0.7_leak1.0_ridge0.0001_wo50,,800,0.7,1.0,0.0001,50,29,0.11671566296881508,0.06669465285222032,0.16673635925897656,0.31047477644928534,1,0.034482758620689655,1,1,0.11671566296881508,1,0,102.41925052599761,0.10837882482798022,23.0
Stage1,2.0,42,nres800_sr0.7_leak1.0_ridge1e-06_wo50,,800,0.7,1.0,1e-06,50,29,0.11671565113500293,0.06669465285222032,0.18341719077562857,0.2644788349390432,0,0.0,1,0,0.11671565113500293,0,0,106.38034202560667,0.11671565113500293,24.0
Stage1,2.0,42,nres800_sr0.9_leak0.1_ridge1e-08_wo50,,800,0.9,0.1,1e-08,50,29,0.11671565113500293,0.0833683773887195,0.21675666849542097,0.3277232564998627,0,0.0,1,0,0.11671565113500293,0,0,110.8816325383394,0.11671565113500293,24.0
Stage1,2.0,42,nres800_sr0.95_leak0.1_ridge1e-08_wo50,,800,0.95,0.1,1e-08,50,29,0.11671565113500293,0.0833683160652754,0.18340999518487422,0.3225486852857976,0,0.0,1,0,0.11671565113500293,0,0,107.89166969960374,0.11671565113500293,24.0
Stage1,2.0,42,nres1600_sr1.1_leak0.1_ridge1e-06_wo50,,1600,1.1,0.1,1e-06,50,29,0.11671565113500293,0.0833683773887195,0.20009141603441094,0.2018090162038862,0,0.0,1,0,0.11671565113500293,0,0,95.81822350199865,0.11671565113500293,24.0
