side,subset,model,level,sigma_theta_deg,sigma_omega,n,median,q25,q75,mean,std,min,max,cens_frac,median_of_trial_medians,n_trials,median_vs_ideal
insim,chaos_pinn,Analytic,th1.0,1.0,0.0,980.0,2.470833333333333,1.25,8.408333333333333,4.252695578231292,3.6636775941013586,0.21666666666666667,10.0,0.22959183673469388,2.25,49.0,
insim,chaos_pinn,Analytic,w0.03,0.0,0.03,980.0,10.0,6.589583333333334,10.0,8.170765306122448,2.877641948736911,0.65,10.0,0.6469387755102041,10.0,49.0,
insim,chaos_pinn,Analytic,w0.09,0.0,0.09,980.0,6.550000000000001,2.7729166666666667,10.0,6.3292942176870755,3.525381431247602,0.25,10.0,0.41122448979591836,6.85,49.0,
insim,chaos_pinn,Analytic,w0.2,0.0,0.2,980.0,3.1166666666666667,1.5416666666666667,9.26875,4.606998299319728,3.640486751348087,0.14166666666666666,10.0,0.23775510204081632,3.2625,49.0,
insim,chaos_pinn,Analytic,joint_0.45_0.09,0.45,0.09,980.0,3.45,2.0166666666666666,10.0,4.948477891156464,3.5257026631827055,0.20833333333333334,10.0,0.2510204081632653,2.975,49.0,
insim,chaos_pinn,Analytic,det_joint_0.45_0.09,0.45,0.09,49.0,6.166666666666667,2.441666666666667,10.0,6.165306122448979,3.720213238012194,0.625,10.0,0.3877551020408163,6.166666666666667,49.0,
insim,chaos_own,Analytic,clean,0.0,0.0,2.0,5.995833333333334,5.710416666666666,6.28125,5.995833333333334,0.8072802418546418,5.425,6.566666666666666,0.0,5.995833333333334,2.0,
insim,chaos_own,Analytic,th0.1,0.1,0.0,40.0,1.8208333333333333,1.4083333333333334,1.90625,1.7668750000000002,0.4369119470802149,1.1833333333333333,2.9166666666666665,0.0,1.6458333333333335,2.0,
insim,chaos_own,Analytic,th0.45,0.45,0.0,40.0,1.1833333333333333,1.0354166666666667,1.2833333333333334,1.0972916666666666,0.4472071751198011,0.375,2.2416666666666667,0.0,1.2041666666666666,2.0,
insim,chaos_own,Analytic,th0.5,0.5,0.0,40.0,1.175,1.0250000000000001,1.2687499999999998,1.0754166666666667,0.433760267988517,0.36666666666666664,2.2416666666666667,0.0,1.19375,2.0,
insim,chaos_own,Analytic,th1.0,1.0,0.0,40.0,0.4458333333333333,0.39166666666666666,1.1020833333333333,0.7322916666666667,0.44313450452719666,0.21666666666666667,1.8333333333333333,0.0,0.7020833333333333,2.0,
insim,chaos_own,Analytic,w0.03,0.0,0.03,40.0,1.2708333333333335,1.1145833333333335,1.81875,1.3908333333333336,0.4548167346396371,0.7333333333333333,2.9833333333333334,0.0,1.2416666666666667,2.0,
insim,chaos_own,Analytic,w0.09,0.0,0.09,40.0,0.95,0.6020833333333333,1.15,0.8970833333333331,0.4288415705042978,0.25,2.191666666666667,0.0,0.8083333333333333,2.0,
insim,chaos_own,Analytic,w0.2,0.0,0.2,40.0,0.45,0.3625,0.9312499999999999,0.6177083333333334,0.3575457828353759,0.14166666666666666,1.2833333333333334,0.0,0.5479166666666666,2.0,
insim,chaos_own,Analytic,joint_0.45_0.09,0.45,0.09,40.0,0.7541666666666667,0.4083333333333333,1.0520833333333335,0.820625,0.46539427996722393,0.20833333333333334,2.2583333333333333,0.0,0.7208333333333332,2.0,
insim,chaos_own,Analytic,det_joint_0.45_0.09,0.45,0.09,2.0,0.8666666666666667,0.7875,0.9458333333333333,0.8666666666666667,0.22391714737573998,0.7083333333333334,1.025,0.0,0.8666666666666667,2.0,
real,all29,PINN,clean,0.0,0.0,29.0,0.41683998042572057,0.1500630702102299,0.7669872525912922,0.6663714232160634,0.7998299286420413,0.05002098501071828,3.568150202195639,0.0,0.41683998042572057,29.0,0.8670295009153399
real,all29,PINN,th0.1,0.1,0.0,580.0,0.41683998042572057,0.1500630702102299,0.7669872525912922,0.6581498411392398,0.7781923518166903,0.05002098501071828,3.568150202195639,0.0,0.41683998042572057,29.0,0.8336967025480035
real,all29,PINN,th0.45,0.45,0.0,580.0,0.40851110285902337,0.1500630702102299,0.8003317142517972,0.6729838665556311,0.7916470964400806,0.05002098501071828,3.5848238012713196,0.0,0.41683998042572057,29.0,0.8003656641376438
real,all29,PINN,th0.5,0.5,0.0,580.0,0.4001828320688219,0.15006304488704636,0.7878265312166128,0.671460294653557,0.7914029278286321,0.05002098501071828,3.601497400347,0.0,0.41683998042572057,29.0,0.8003507788174034
real,all29,PINN,th1.0,1.0,0.0,580.0,0.3918371222806627,0.1500629689174957,0.7002927088877016,0.6203758568616852,0.7275468913020819,0.05002098501071828,3.984990179087653,0.0017241379310344827,0.408519974403589,29.0,0.7503142584094924
real,all29,PINN,w0.03,0.0,0.03,580.0,0.41683998042572057,0.1500630702102299,0.7669872525912922,0.6659405778135379,0.7876094000466085,0.05002098501071828,3.568150202195639,0.0,0.41683998042572057,29.0,0.8087028064724109
real,all29,PINN,w0.09,0.0,0.09,580.0,0.41683998042572057,0.1500629689174957,0.883700089552562,0.6673781081167214,0.7862447715704832,0.05002098501071828,3.5848238012713196,0.0,0.41683998042572057,29.0,0.8003656641376438
real,all29,PINN,w0.2,0.0,0.2,580.0,0.3834927351890798,0.15006230895836836,0.8003322811100588,0.6199447121287827,0.7342344657261213,0.05002098501071828,3.601497400347,0.0,0.40850258617624036,29.0,0.691955332310533
real,all29,PINN,joint_0.45_0.09,0.45,0.09,580.0,0.4001828320688219,0.1500629689174957,0.8170054362989951,0.6657970734305834,0.7925836708084385,0.05002098501071828,3.6181709994226807,0.0,0.41683998042572057,29.0,0.7753374592037829
real,all29,PINN,det_joint_0.45_0.09,0.45,0.09,29.0,0.3501460744940754,0.15006224793968226,0.9003755633445962,0.677871044288864,0.8208785699557026,0.05002098501071828,3.5848238012713196,0.0,0.3501460744940754,29.0,0.7169643650233155
real,all29,MLP_lam0,clean,0.0,0.0,29.0,0.2667771991355039,0.1500630702102299,0.7002902499703225,0.5433323992674366,0.7042305070433189,0.05002098501071828,3.4847858641493588,0.0,0.2667771991355039,29.0,0.6836163993184812
