tag,fps,rel_deg,lead_n,pred_n,model,level,rep,sigma_theta_deg,sigma_omega,dth1_deg,dw1,dth2_deg,dw2,horizon_s,censored,horizon_vs_ideal_s,censored_vs_ideal
1430,59.975,101.3,239,239,PINN,clean,0,0.0,0.0,0.0,0.0,0.0,0.0,0.350145540824812,0,1.0671102196565698,0
1430,59.975,101.3,239,239,PINN,th0.1,0,0.1,0.0,0.02796636137275997,-0.0,-0.03272492580553911,-0.0,0.350145540824812,0,1.0671102196565698,0
1430,59.975,101.3,239,239,PINN,th0.1,1,0.1,0.0,-0.1013805391228469,-0.0,0.05945428761022493,-0.0,0.350145540824812,0,1.0671102196565698,0
1430,59.975,101.3,239,239,PINN,th0.1,2,0.1,0.0,0.07139878238028322,-0.0,0.027618108326216657,0.0,0.350145540824812,0,1.0671102196565698,0
1430,59.975,101.3,239,239,PINN,th0.1,3,0.1,0.0,0.04419328626113483,-0.0,0.04493704362717971,0.0,0.350145540824812,0,1.0671102196565698,0
1430,59.975,101.3,239,239,PINN,th0.1,4,0.1,0.0,-0.1592681241463771,0.0,0.05854550183248408,0.0,0.350145540824812,0,0.8503534562888291,0
1430,59.975,101.3,239,239,PINN,th0.1,5,0.1,0.0,-0.13404138834141155,-0.0,-0.1392021941790508,-0.0,0.350145540824812,0,0.6169230957389544,0
1430,59.975,101.3,239,239,PINN,th0.1,6,0.1,0.0,0.23501669946415343,0.0,-0.09554492829888506,-0.0,0.350145540824812,0,1.0671102196565698,0
1430,59.975,101.3,239,239,PINN,th0.1,7,0.1,0.0,-0.009143626904587934,0.0,0.14847468350751805,-0.0,0.350145540824812,0,1.0671102196565698,0
1430,59.975,101.3,239,239,PINN,th0.1,8,0.1,0.0,0.1230144358459974,0.0,-0.05968463089898147,-0.0,0.350145540824812,0,1.0671102196565698,0
1430,59.975,101.3,239,239,PINN,th0.1,9,0.1,0.0,0.012661895404551744,0.0,0.06032055228014122,0.0,0.350145540824812,0,1.0671102196565698,0
1430,59.975,101.3,239,239,PINN,th0.1,10,0.1,0.0,-0.14283923744921612,0.0,-0.09821064756432325,-0.0,0.350145540824812,0,0.6169230957389544,0
1430,59.975,101.3,239,239,PINN,th0.1,11,0.1,0.0,0.14302099034231394,0.0,-0.2095434848980186,-0.0,0.350145540824812,0,1.0671102196565698,0
1430,59.975,101.3,239,239,PINN,th0.1,12,0.1,0.0,-0.04613555944045727,0.0,-0.12625710481516786,-0.0,0.350145540824812,0,0.6169230957389544,0
