protocol,level_deg,rep,delta_th1_deg,delta_th2_deg,horizon_s,censored,s0_err_seen_by_model_deg,traj_drift_at_t20_th1_deg,traj_drift_at_t20_th2_deg,ref_horizon_s
old,0.1,0,0.030471707975443137,-0.10399841062404956,2.2333333333333334,0,0.0,9.21824129409382,17.797197422489393,5.841666666666667
old,0.1,1,0.07504511958064573,0.0940564716391214,5.583333333333333,0,0.0,3.495917688498354,7.114078076720755,5.841666666666667
old,0.1,2,-0.19510351886538366,-0.13021795068623182,6.441666666666666,0,0.0,0.29181045410019757,0.209047958733128,5.841666666666667
old,0.1,3,0.012784040316728537,-0.03162425923435822,5.841666666666667,0,0.0,3.11306521610895,6.225752848464495,5.841666666666667
old,0.1,4,-0.0016801157504288797,-0.08530439275735802,3.9166666666666665,0,0.0,6.375656987807281,12.381870466036663,5.841666666666667
old,0.1,5,0.08793979748628286,0.07777919354289484,5.833333333333333,0,0.0,1.7391691824078352,3.2713453580315184,5.841666666666667
old,0.1,6,0.006603069756121605,0.11272412069680329,4.65,0,0.0,6.590879256568756,14.627582647770941,5.841666666666667
old,0.1,7,0.046750934225204564,-0.08592924628832382,2.2416666666666667,0,0.0,8.802909581371244,17.09914628470601,5.841666666666667
old,0.1,8,0.036875078408249884,-0.0958882600828999,2.2416666666666667,0,0.0,8.990552060504323,17.404331234331543,5.841666666666667
old,0.1,9,0.08784503013072725,-0.00499259109862529,5.6,0,0.0,5.001927789972348,10.145230034082006,5.841666666666667
old,0.1,10,-0.018486236354526057,-0.06809295444039414,5.841666666666667,0,0.0,4.2777233027250725,8.342572195719294,5.841666666666667
old,0.1,11,0.12225413386740303,-0.015452948206880215,2.775,0,0.0,7.636318322263174,15.238968135129705,5.841666666666667
old,0.1,12,-0.042832782216310726,-0.03521335504882296,5.85,0,0.0,0.581706016283955,1.0086470478765182,5.841666666666667
old,0.1,13,0.05323091855533488,0.036544406436407835,5.841666666666667,0,0.0,0.2073821648119393,0.2187491622959893,5.841666666666667
old,0.1,14,0.04127326115959884,0.043082100300788274,5.833333333333333,0,0.0,1.3039442038756597,2.53149918912292,5.841666666666667
old,0.1,15,0.21416476008704613,-0.04064150163846156,3.933333333333333,0,0.0,13.605431626133958,26.604749375060923,5.841666666666667
old,0.1,16,-0.051224272907153735,-0.08137727282478778,5.841666666666667,0,0.0,3.613133650464653,6.934164689399217,5.841666666666667
old,0.1,17,0.06159794225754957,0.11289722927208917,5.283333333333333,0,0.0,5.141359836189679,10.902664791207945,5.841666666666667
old,0.1,18,-0.011394745765487508,-0.0840156476962528,5.05,0,0.0,5.798060790150087,11.256134167023836,5.841666666666667
old,0.1,19,-0.08244812156912396,0.06505927878247011,4.65,0,0.0,6.7008544036797995,15.29888454530908,5.841666666666667
