frame,t,x_m1_px,y_m1_px,x_m2_px,y_m2_px,area_m1,area_m2,th1,th2,w1,w2
0,0.0,1398.7463414634146,319.7731707317073,1293.061711079944,655.6577840112202,410,713,1.1837903477440648,-0.3048384227527681,0.0234321851881827,-0.0211692413449512
1,0.0166735707150831,1398.9234567901235,319.6641975308642,1293.101838755304,655.5700141442716,405,707,1.1841810459408089,-0.3051913895953178,0.0186610917839296,-0.0135920254178735
2,0.0333471414301662,1398.8894348894348,319.54299754299757,1293.0880681818182,655.2670454545455,407,704,1.1844126418110248,-0.3052916779467003,0.0214077868012987,-0.009660838699115
3,0.0500207121452494,1399.0441176470588,319.38235294117646,1293.1661931818182,655.0894886363636,408,704,1.1848949344349786,-0.3055135509497512,0.0395670349308534,-0.0226117437064594
4,0.0666942828603325,1399.3251231527097,319.10837438423647,1293.2457142857145,654.8314285714285,406,700,1.1857320893208363,-0.3060457149620623,0.0515888878778745,-0.0341792783388247
5,0.0833678535754157,1399.5012345679013,318.77037037037036,1293.217638691323,654.4295874822191,405,703,1.186615276375267,-0.306653332178497,0.0531405644005714,-0.0363871823944014
6,0.1000414242904988,1399.7071960297767,318.44168734491313,1293.2071942446044,654.0776978417266,403,695,1.187504175237581,-0.3072591234796137,0.0564899673175711,-0.0134104685704573
7,0.116714995005582,1399.6748768472903,317.9679802955665,1293.2750716332378,653.4727793696275,406,698,1.1884990553047916,-0.3071005329705609,0.0529718503306882,-0.0367531432250984
8,0.1333885657206651,1400.060975609756,317.76585365853657,1293.2707736389684,652.8911174785101,410,698,1.189270635022376,-0.3084847357447442,0.0675526859083952,-0.0487631070297446
9,0.1500621364357482,1400.0365853658536,317.07073170731707,1293.1716312056735,652.1503546099291,410,705,1.1907517442757665,-0.3087266431972561,0.0821248349815279,-0.034528852556623
10,0.1667357071508314,1400.2733990147783,316.5837438423645,1293.0819209039548,651.6341807909605,406,708,1.192009263509434,-0.3096361742743713,0.080465686560407,-0.0492549079186242
11,0.1834092778659145,1400.406862745098,315.9779411764706,1292.978723404255,650.9219858156029,408,705,1.1934350449057718,-0.3103691535777483,0.0829624015365277,-0.0532133372484226
12,0.2000828485809977,1400.720588235294,315.4828431372549,1292.846694796062,650.6160337552743,408,711,1.194775822446859,-0.3114106869575656,0.0794970996463343,-0.0795111189142498
