frame,t,x_m1_px,y_m1_px,x_m2_px,y_m2_px,area_m1,area_m2,th1,th2,w1,w2
0,0.0,1411.0246913580247,289.42962962962963,1291.4172461752437,619.7343532684283,405,719,1.2589715041679594,-0.3474243868258169,-0.0157605413179325,0.0089919163805182
1,0.0166736083299959,1410.9401496259352,289.5211970074813,1291.4163208852003,619.7496542185339,401,723,1.2587087190749555,-0.3472744591339521,0.0032020902502003,0.011089533330064
2,0.0333472166599919,1410.9753086419753,289.36543209876544,1291.456551724138,619.8068965517241,405,725,1.2590782849652975,-0.3470545817552011,0.0108625686911094,0.0024855175811989
3,0.0500208249899879,1411.032258064516,289.38709677419354,1291.4759284731774,619.7909215955983,403,727,1.259070955506582,-0.3471915740406596,0.0027621410448523,-0.0194561878612766
4,0.0666944333199839,1411.0794044665013,289.35732009925556,1291.4346629986244,619.4773039889959,403,727,1.259170394681166,-0.3477033914671886,0.0255293648453699,-0.0106442487231817
5,0.0833680416499799,1411.2776412776414,289.0810810810811,1291.6280991735537,619.3760330578513,407,726,1.2599222887672723,-0.3475465301090144,0.0473828865357548,-0.0165679038497472
6,0.1000416499799759,1411.4570024570023,288.76412776412775,1291.6188524590164,618.8483606557377,407,732,1.2607504820644495,-0.348255884946468,0.0582266801933959,-0.0354227232740648
7,0.1167152583099719,1411.635696821516,288.31784841075796,1291.548563611491,618.6019151846785,409,731,1.2618639864870738,-0.3487277793367216,0.0527460241849432,-0.0195703379904521
8,0.1333888666399679,1411.6773399014778,288.0394088669951,1291.5006877579092,618.3837689133425,406,727,1.262509415160898,-0.3489085012475449,0.038346282902505,-0.0239759937167486
9,0.1500624749699639,1411.9975,287.855,1291.598901098901,618.1730769230769,400,728,1.263142728291129,-0.3495273119938326,0.0586286906353869,-0.0168195377780117
10,0.1667360832999599,1412.0562347188263,287.2762836185819,1291.7109266943291,617.5076071922545,409,723,1.264464518810008,-0.3494693860179492,0.0645985400827253,-0.0129831124740287
11,0.1834096916299559,1412.1379310344828,286.9261083743842,1291.7111716621253,616.8773841961853,406,734,1.2652969098031868,-0.3499602626584251,0.0617554952254262,-0.0311165514733211
12,0.2000832999599519,1412.4108910891089,286.4579207920792,1291.7892561983472,616.3829201101928,404,726,1.2665238926892353,-0.3505070364016418,0.0980305802473142,-0.0209206086652811
13,0.2167569082899479,1412.6691542288556,285.6169154228856,1291.923611111111,615.7263888888889,402,720,1.268565956801999,-0.3506579067282451,0.1218375238615502,0.0020396718980846
14,0.2334305166199439,1412.9632352941176,284.796568627451,1292.3370473537605,614.8036211699165,408,718,1.270586834994763,-0.3504390190209411,0.1255898933205827,-0.0304753089810386
15,0.2501041249499399,1413.4299754299757,283.96314496314494,1292.36578581363,613.904033379694,407,719,1.2727540301848654,-0.351674173459616,0.1126851870543382,-0.0309312796920321
16,0.2667777332799359,1413.3406326034062,283.2189781021898,1292.4168975069251,612.9847645429363,411,722,1.274344572341836,-0.3514704911064021,0.0838785556111075,-0.0248347092594775
17,0.2834513416099319,1413.734793187348,282.7956204379562,1292.4225941422594,612.5676429567643,411,717,1.2755511465519562,-0.3525023418899797,0.0777525054455178,-0.0623341539377395
18,0.3001249499399279,1413.8875305623471,282.21760391198046,1292.24,611.8358620689655,409,725,1.276937401986785,-0.3535491616430812,0.0841184322485442,-0.0647990112590597
19,0.3167985582699239,1414.1002444987776,281.64303178484107,1292.133608815427,610.9958677685951,409,726,1.2783562621372473,-0.3546632085577889,0.0976182979009778,-0.0537203359719934
20,0.3334721665999199,1414.3447432762837,280.88997555012224,1292.1861111111111,610.0763888888889,409,720,1.2801927005168685,-0.3553405853257868,0.1103379978077728,-0.0296327691560176
21,0.3501457749299159,1414.362962962963,280.06666666666666,1292.0625869262865,609.3212795549374,405,719,1.2820357272559728,-0.3556513789310701,0.083834153458021,-0.0642532230706112
22,0.3668193832599119,1414.6301703163017,279.7177615571776,1291.8160442600276,608.508990318119,411,723,1.2829883361957402,-0.3574832514766253,0.0811865093589583,-0.0682774616337248
23,0.3834929915899079,1414.8533007334963,278.9951100244499,1291.8512396694214,607.8429752066115,409,726,1.2847430713734345,-0.3579282422371642,0.0949579293894527,-0.0287026579990237
24,0.4001665999199039,1414.919512195122,278.38048780487804,1291.6703601108034,607.3753462603878,410,722,1.2861549188406745,-0.3584404052316364,0.0588862692140171,-0.0459138829297404
25,0.4168402082498999,1415.1313868613138,278.19464720194645,1291.5986394557824,606.9265306122448,411,735,1.286706764551213,-0.3594593424389238,0.0260231584545243,-0.0597436948395513
26,0.4335138165798959,1415.2102689486553,278.0757946210269,1291.3872282608695,606.6086956521739,409,736,1.2870227187438348,-0.3604326911675193,0.0282525434615103,-0.0389369688861092
27,0.4501874249098919,1415.1344743276284,277.77261613691934,1291.2537517053206,606.1350613915416,409,733,1.2876489082392195,-0.3607577819764522,0.0633177420618269,-0.0281970496031745
28,0.4668610332398878,1415.3373786407767,277.1650485436893,1291.2062841530055,605.5792349726776,412,732,1.289134189206792,-0.3613729842898089,0.0612596309399941,-0.0427174784341255
