frame,t,x_m1_px,y_m1_px,x_m2_px,y_m2_px,area_m1,area_m2,th1,th2,w1,w2
0,0.0,1394.8019801980197,333.9257425742574,1314.1715481171548,678.8354253835425,404,717,1.1495417650940156,-0.2296484752490525,-0.0042579780287941,0.0144158193361134
1,0.0166736359258977,1394.8543209876543,333.9827160493827,1314.3380480905234,678.7779349363508,405,707,1.149470769118583,-0.2294081111258686,0.0002725518159482,0.0126757398981005
2,0.0333472718517955,1395.054054054054,334.034398034398,1314.6169014084508,678.7746478873239,407,710,1.1495508539535155,-0.2292257739047479,0.0024015408303453,0.0046492167394052
3,0.0500209077776933,1395.054054054054,334.034398034398,1314.6573033707866,678.5589887640449,407,712,1.1495508539535155,-0.2292530724313618,0.0192073326824604,0.0161103436355684
4,0.066694543703591,1395.2172839506172,333.80493827160495,1314.9958158995817,678.4574616457462,405,717,1.1501913660980256,-0.2286885378959068,0.0138728237334704,0.0256849534311042
5,0.0833681796294888,1395.081081081081,333.82800982800984,1314.967832167832,678.4713286713287,407,715,1.1500134747779078,-0.228396549306794,-0.0104724766816071,0.0146611844212762
6,0.1000418155553866,1395.036945812808,333.88916256157637,1314.9958275382476,678.5299026425591,406,719,1.1498421375711625,-0.2281996273933411,-0.0124175683228745,-0.0020594267333662
7,0.1167154514812843,1395.111111111111,334.037037037037,1314.9815864022662,678.643059490085,405,706,1.149599382751307,-0.2284652255699304,-0.0114843266386166,-0.0105140569417547
8,0.1333890874071821,1395.1506172839506,334.12098765432097,1314.9706293706297,678.8111888111888,405,715,1.1494591666087095,-0.2285502425084431,-0.0221896642956128,-0.0105472857014959
9,0.1500627233330799,1395.1796116504854,334.41747572815535,1314.93006993007,678.9902097902097,412,715,1.1488594179837408,-0.2288169487735168,-0.0199872227111719,0.0057668157708313
10,0.1667363592589776,1395.00987654321,334.37283950617285,1314.866391184573,679.2066115702479,405,726,1.148792647259398,-0.228357934935214,-0.0077443505689665,-0.0055021075980164
11,0.1834099951848754,1394.9853300733496,334.45232273838633,1314.617110799439,679.2482468443197,409,713,1.148601165020002,-0.2290004290513457,-0.0244215200792471,0.0198615897202531
12,0.2000836311107732,1394.6237623762377,334.58415841584156,1314.6713286713286,679.6321678321679,404,715,1.1479782561902812,-0.2276956051034039,-0.016510728650695,0.0248745949973288
13,0.2167572670366709,1394.6683046683047,334.57002457002454,1314.5498614958449,679.5886426592798,407,722,1.148050577263216,-0.2281709291697664,-0.0050105649505022,-0.0099861085753818
14,0.2334309029625687,1394.5910224438903,334.6483790523691,1314.5269709543568,679.655601659751,401,723,1.1478111675187457,-0.2280286145808087,-0.0223418927872968,0.0284922117956289
15,0.2501045388884665,1394.2,334.7111111111111,1314.4036061026352,679.8307905686546,405,721,1.1473055360907545,-0.2272207916373587,-0.0328936730410511,0.0358925984801042
16,0.2667781748143643,1393.982456140351,334.8922305764411,1314.3960674157304,679.7148876404494,399,712,1.1467142532616417,-0.2268316943418253,-0.0189115468407639,0.0135217115427787
17,0.283451810740262,1393.952380952381,334.89724310776944,1314.36312849162,679.8296089385475,399,716,1.146674887597117,-0.2267698794466401,-0.0181087313515327,0.0102606368675438
18,0.3001254466661598,1393.8947368421052,335.1378446115288,1314.388349514563,680.1525658807212,399,721,1.146110376474371,-0.2264895300948307,-0.0336611241492933,-0.0062192313520279
19,0.3167990825920576,1393.8536585365853,335.3829268292683,1314.2158774373258,680.1991643454039,410,718,1.1455523809392738,-0.2269772738452453,-0.0163548071884464,-0.0270917041552669
20,0.3334727185179553,1393.7862407862408,335.34643734643737,1313.98347107438,680.2231404958678,407,726,1.145564988272974,-0.2273929645182248,-0.0140941816606233,-0.0079903634999402
21,0.3501463544438531,1393.6825,335.5275,1313.953103448276,680.3213793103448,400,725,1.1450823784319084,-0.2272437306690725,-0.0160736214278987,-0.0047340314928841
22,0.3668199903697509,1393.6947890818858,335.55831265508687,1313.8240997229916,680.4806094182826,403,722,1.1450289768495752,-0.227550831553373,-0.0016013778449576,-0.009599438442262
23,0.3834936262956486,1393.6947890818858,335.55831265508687,1313.8284923928077,680.4412171507607,403,723,1.1450289768495752,-0.2275638457524312,0.0012731682655977,-0.0024904517503794
24,0.4001672622215464,1393.6325,335.51,1313.7306629834254,680.4364640883978,400,724,1.1450714335378411,-0.2276338813249267,0.0034415936207385,-0.0126750661328718
25,0.4168408981474442,1393.57855361596,335.45137157107234,1313.5388888888888,680.4194444444445,401,720,1.1451437446076491,-0.2279865246285036,0.0052067784321494,-0.0017008400772198
26,0.4335145340733419,1393.394540942928,335.3200992555831,1313.52216066482,680.0304709141275,403,722,1.14524506539369,-0.2276905997013582,0.009475164399163,0.0105592300361488
27,0.4501881699992397,1393.4594594594594,335.24815724815727,1313.6052631578948,679.9681440443213,407,722,1.145459715490709,-0.2276344031139425,0.011838879574427,-0.0005983693216363
28,0.4668618059251375,1393.5463414634146,335.20243902439023,1313.6638888888888,679.925,410,720,1.1456398597292792,-0.2277105536857946,0.009478161214921,-0.0018403173459629
29,0.4835354418510352,1393.6073170731706,335.1658536585366,1313.7229916897506,679.9196675900278,410,722,1.1457757863093978,-0.2276957726767719,0.0135611883083677,0.0004203170463355
30,0.500209077776933,1393.635696821516,335.0293398533007,1313.7229916897506,679.904432132964,409,722,1.1460920883624317,-0.2276965372589865,0.0168133203171055,-0.0079064874972963
