frame,t,x_m1_px,y_m1_px,x_m2_px,y_m2_px,area_m1,area_m2,th1,th2,w1,w2
120,2.000832402801746,1112.6303630363036,572.023102310231,1043.186596583443,921.2128777923784,303,761,0.2682033625593168,-0.1963098760171758,-8.891320012414381,-2.4870920697266823
121,2.017506006158427,1050.486111111111,584.4861111111111,966.6939820742638,930.2151088348272,432,781,0.1199530193549975,-0.2377786626993459,-9.388574291920891,-1.4013890708503385
122,2.034179609515109,980.050916496945,587.3421588594705,894.5743801652893,932.0840220385676,491,726,-0.0448793650971295,-0.243042287048669,-10.38395636367148,0.6544224722127769
123,2.0508532128717896,903.1897435897436,576.748717948718,827.2106918238994,923.0896226415094,585,636,-0.2263229200068907,-0.2159555012405967,-9.855989753934578,0.4799417716447126
124,2.067526816228471,843.321554770318,557.3816254416961,763.7305605786619,901.9005424954792,283,553,-0.373549092786368,-0.2270375695792554,-9.96465421846722,0.4494471770547871
125,2.084200419585152,772.8729792147806,521.7321016166281,701.6774744027304,871.2133105802047,433,586,-0.5586163040572961,-0.2009676933206135,-9.67651021041084,-0.6006095039561233
126,2.1008740229418335,725.0220385674932,487.6115702479339,637.6459074733096,834.040925266904,363,562,-0.6962336790369006,-0.2470662188616903,-7.391371142762706,-3.9002721579523856
127,2.1175476262985145,690.51875,456.334375,574.4047619047619,794.1921768707483,320,588,-0.805097885450186,-0.3310308752102239,-5.868598706758393,-5.869753965287935
128,2.134221229655196,665.6134969325153,428.70245398773005,512.2309124767226,752.1489757914339,326,537,-0.8919350532289442,-0.4428061176987259,-4.4905441289987325,-7.284322228662983
129,2.150894833011877,648.9769452449568,407.45821325648416,454.12655601659753,708.8298755186722,347,482,-0.9548449887753828,-0.5739426743361894,-2.9827669243355404,-8.954552971986946
130,2.1675684363685583,639.6092544987147,394.8431876606684,397.1367673179396,659.6412078152753,389,563,-0.9914019984325416,-0.7414154466813285,-1.5159417639113533,-10.433826872649911
131,2.1842420397252393,636.0897755610972,389.95261845386534,347.97668393782385,608.4844559585492,401,772,-1.005397412141954,-0.921881655869882,-0.3561826177844719,-11.235271329087231
132,2.200915643081921,636.4447236180905,390.8065326633166,310.68401015228426,550.0659898477157,398,788,-1.003279693815507,-1.1160803621731148,0.2281242490264709,-11.21056089603744
133,2.217589246438602,637.972972972973,392.6314496314496,286.659217877095,491.782122905028,407,716,-0.9977901056533376,-1.29572254744278,0.1554334002225026,-10.181517226021578
134,2.2342628497952832,638.0695443645084,392.4124700239808,272.8075253256151,434.6743849493488,417,691,-0.9980964240881264,-1.4556055217649169,-0.1372440793971827,-9.061314179719718
135,2.250936453151964,637.3226600985222,390.7118226600985,267.786013986014,380.6965034965035,406,715,-1.002366812339181,-1.5978920644886156,-0.3436249372363412,-7.981834409819566
136,2.2676100565086457,635.7397590361446,388.06024096385545,267.66452442159385,332.0616966580977,415,778,-1.009555355902013,-1.7217774037809992,-0.4586351504849808,-6.898234951509234
137,2.2842836598653267,633.9352517985611,385.08393285371704,271.28484107579465,289.7237163814181,417,818,-1.0176610135084174,-1.827928931373936,-0.4042174860626152,-6.004568603741258
138,2.300957263222008,632.4431279620853,383.2914691943128,278.43153049482163,253.57882623705407,422,869,-1.023034879966899,-1.922012994234525,-0.23498568862924,-5.290660136307783
139,2.317630866578689,631.8867924528302,382.39150943396226,288.46436781609196,223.40804597701148,424,870,-1.0254971298418183,-2.0043576685895377,0.0060520717414517,-4.625669344337003
140,2.3343044699353706,632.6698113207547,383.2547169811321,300.0931603773585,199.1981132075472,424,848,-1.0228330602794924,-2.0762661460477947,0.3224034608267569,-3.9909852272776303
