epoch,data_loss,phys_loss
0,0.3801535324503978,0.632770208021005
1,0.2371475255737702,0.5659576406081518
2,0.2212987175832192,0.3967473432421684
3,0.15094802528619766,0.3466024262209733
4,0.09512015928824742,0.3036668350299199
5,0.0768646829140683,0.25917155978580314
6,0.056933670615156494,0.2218711512784163
7,0.08452603034675121,0.19432248609761396
8,0.059640070578704275,0.17305768405397734
9,0.03973642527125776,0.15147413623829684
10,0.022664600634016097,0.12467704620212317
11,0.021845076349563897,0.1059923389305671
12,0.011908448999747634,0.09135154075920582
13,0.010955242614727467,0.08051928350081046
14,0.010302225224828968,0.07140026583025853
15,0.007951556937769055,0.06277699659888943
16,0.021550051906766992,0.05839170763889948
17,0.02035359755003204,0.05452332009250919
18,0.01637122454121709,0.048745465309669576
19,0.013877783397523066,0.04568850311140219
20,0.010644628724548966,0.042003917042165995
21,0.004340674311000233,0.03799756010994315
22,0.004425611958140507,0.03464649633194009
23,0.004591863553893442,0.031644293650363885
24,0.004114465885019551,0.02930615741449098
25,0.003952978984064733,0.026792360081647832
26,0.004260828650634115,0.02470247509578864
27,0.003943008729644741,0.022835675937434036
28,0.0030830189352855086,0.02147633978165686
29,0.003914093618125965,0.019721430959179997
30,0.02858663653023541,0.02264227787964046
31,0.006737708356619502,0.02023057173937559
32,0.0026702451383850225,0.017923621616015833
33,0.0021784014146154127,0.016641159891150892
34,0.002458941346655289,0.015595937458177408
35,0.002046235487796366,0.014414745227744183
36,0.0037594995519611984,0.014078076385582486
37,0.0017976054126241554,0.013227451398658255
38,0.0019439678532459463,0.012360126323377093
39,0.001472616214111137,0.011533009819686413
40,0.002690687688300386,0.01146119060770919
41,0.0032631254822869473,0.011195949433992306
42,0.0025425316804709532,0.011028568532007435
43,0.0030879522916317606,0.010180946400699517
44,0.002486755489371717,0.009893981196607152
45,0.0012528191218734719,0.009204930509440601
46,0.0036408359883353114,0.009537489851936698
47,0.02067678585687342,0.025731235975399613
48,0.010072088955591122,0.017332608229480684
49,0.006204557750606909,0.0124773980739216
50,0.002320387260018227,0.009389561406957606
51,0.0012350729157333262,0.008305667356277505
52,0.000955644977996902,0.0077581474324688315
53,0.001093125584399483,0.007541860201551269
