trial,horizon,mse_th1,mse_th2
0,0.7666666666666667,0.06226609832713687,0.20063021786193266
1,6.791666666666667,0.0034023372870593893,0.006308722956662616
2,0.625,1.1037019051249572,35.93329283178925
3,1.6083333333333334,0.021183313714037547,0.05452556510613552
4,0.5583333333333333,0.09363961412337299,0.33720870500311
5,0.4583333333333333,0.5948944828555375,1.8585536369669466
6,1.175,0.03598905227125649,0.08300165423812261
7,0.6666666666666666,0.038324333318077004,0.10703342472549368
8,0.14166666666666666,0.25049459474099506,0.858935051841735
9,5.533333333333333,0.008015064865146632,0.020954251457885025
10,0.25833333333333336,0.22694044098760321,0.7075233705241883
11,0.19166666666666668,1.3845510785143083,18.131882109414608
12,0.14166666666666666,0.6014168739221039,1.7357001927468552
13,1.2166666666666666,0.11597775513242072,0.3843803695200467
14,0.15,0.09448420780498057,0.314218700213339
15,1.8166666666666667,0.1857182877716616,0.5973751743320936
16,1.525,0.03227172174275775,0.10781285718281165
17,0.4666666666666667,0.06458899989179451,0.19252831573471824
18,0.49166666666666664,0.09883342145001103,0.31694717322469074
19,0.6416666666666667,0.3206742487692404,0.9987187125183812
20,0.5,0.15974016834703747,0.5049715473747334
21,2.1166666666666667,0.233485713184906,0.863737018729391
22,2.783333333333333,0.0011435595381589913,0.00426034514235756
23,1.5166666666666666,0.04799345022484172,0.10061113448168331
24,0.23333333333333334,0.5545826093524236,1.7382442725949137
25,0.21666666666666667,0.1724812741366656,0.6470442229796833
26,5.608333333333333,0.016238466161518497,0.024207103987949927
27,2.7583333333333333,0.020715465488469073,0.06991630967243309
28,0.5916666666666667,0.02125622805813778,0.05207950223038033
29,0.16666666666666666,0.9049518426966324,23.293544620257066
30,0.5833333333333334,0.07014401557540047,0.18924474752707074
31,0.7166666666666667,0.032334268576690084,0.0895269405289001
32,0.35833333333333334,0.03754522785524023,0.09263222413357651
33,0.625,0.06536837646985892,0.1963749345404292
34,0.008333333333333333,0.42644307766220513,7.152879584177102
35,0.85,0.011753956753152455,0.03072338855755092
36,0.15833333333333333,0.8708503891750854,2.2643382317985687
37,0.9833333333333333,0.07839313360259718,0.1258380372329043
38,0.4083333333333333,0.1840716633834881,0.5789506800929
39,0.43333333333333335,0.04513788350392896,0.11917313279199078
40,0.5166666666666667,0.09427006486118347,0.27518268530974666
41,0.025,0.3927202863989182,2.857771545016305
42,0.19166666666666668,0.9960337944701465,142.9555224163539
43,0.5583333333333333,0.09327162475057131,0.2791139551759467
44,3.5166666666666666,0.013719644849936943,0.0457447467236207
45,0.21666666666666667,0.47015303147103227,1.3534982121398187
46,0.8,0.04114479518963503,0.07464228358814909
47,0.6083333333333333,0.13073054621549887,0.4262025772386745
48,1.9833333333333334,0.03514896905499498,0.11666656831226364
49,0.008333333333333333,0.7321522203387902,109.46528493650786
