trial,horizon,mse_th1,mse_th2
0,1.4916666666666667,0.013913595067433008,0.029495131196310087
1,2.3666666666666667,0.0038567207462105683,0.006400978467214454
2,0.225,1.5574059894382153,89.09857251468534
3,10.0,0.00028069096582749805,0.00041237663922140394
4,3.1416666666666666,0.10775069468289826,0.27070013044056723
