trial,th1_0_deg,th2_0_deg,energy_drift,file
0,49.3120887400734,-11.001880844630582,1.9043460662056164e-10,trial_000.csv
1,64.54762558404884,35.526245230685504,5.268251357418558e-11,trial_001.csv
2,-73.04807738022309,85.61202329461607,3.431105634401328e-09,trial_002.csv
3,47.00514635826353,51.49157494985169,4.375980688980396e-11,trial_003.csv
4,-66.93954611840174,-8.930531178797915,2.605718650508643e-10,trial_004.csv
5,-23.25635563813538,76.81769799274832,7.035890162467085e-10,trial_005.csv
6,25.895721614519616,58.09709038874939,3.3611583904740415e-12,trial_006.csv
7,-10.185444211080398,-49.097030078740154,1.2182859140092988e-11,trial_007.csv
8,9.825261662850265,-78.51289390124845,4.974618477782009e-10,trial_008.csv
9,58.97361095866477,23.699591841971674,4.317265491466951e-11,trial_009.csv
10,46.45579321536729,-26.185325736623692,4.598772560813858e-10,trial_010.csv
11,84.7256443910826,70.76180183799559,2.6650544865465805e-09,trial_011.csv
12,50.10902947327714,-54.96503258664584,8.546749979640896e-10,trial_012.csv
13,-5.990219329133848,-82.11532215829882,2.0233752206217563e-10,trial_013.csv
14,-62.227891427841385,32.948811583641834,1.0789666180806212e-09,trial_014.csv
15,44.05718806340708,84.15175183815781,5.142122228175925e-10,trial_015.csv
16,-31.351435535132648,-23.3172529137236,6.5132525045318566e-12,trial_016.csv
17,-5.4799539703545745,-55.895155364828575,2.7779535879170087e-11,trial_017.csv
18,-66.61412903961511,-4.373113279331926,6.383894201618453e-10,trial_018.csv
19,-49.156317170840865,30.566519042851862,6.232541794084494e-10,trial_019.csv
20,-11.312654602980468,59.88207529041074,1.5762316033650972e-10,trial_020.csv
21,36.04771836040484,-33.77400455123261,2.9256570213907033e-10,trial_021.csv
22,59.80676425113619,54.857584349424336,1.293955248250235e-10,trial_022.csv
23,-20.2538917745686,-38.10094129255606,7.15686154965779e-13,trial_023.csv
24,32.84919071549559,-64.84455295032424,1.0530893384787132e-09,trial_024.csv
25,-54.0165235544805,-88.67479144481901,1.1860661916657453e-09,trial_025.csv
26,51.64638795038491,29.673154186565785,2.4469545761208134e-11,trial_026.csv
27,36.929768152740316,50.53122558395422,2.529587442316937e-12,trial_027.csv
28,-7.395160403098808,12.373415271520873,3.1467421209889075e-12,trial_028.csv
29,-64.83654033702166,-69.38458676352478,1.2574121902809779e-09,trial_029.csv
30,30.312533122284897,-5.202682894236146,1.8317876299317773e-11,trial_030.csv
31,11.742499166613989,47.69979433488461,1.0117944547684646e-11,trial_031.csv
32,24.249297600106345,9.644292118439248,4.167671920941936e-12,trial_032.csv
33,10.657288934174439,-35.28898234872981,2.528245441609178e-11,trial_033.csv
34,-84.4527897777709,-11.390869938174774,2.6251775599486152e-09,trial_034.csv
35,-51.37475889248474,-16.464844129565492,2.020009444446972e-11,trial_035.csv
36,63.6125531882699,-47.89089254423866,1.4422365434228679e-09,trial_036.csv
37,-79.50550649596812,-39.35089943604063,1.0206409161113586e-10,trial_037.csv
38,-37.153123601996946,29.14497265084111,2.2881439926197582e-10,trial_038.csv
39,10.265787421430101,51.10167763915443,1.4097057418476322e-11,trial_039.csv
40,29.576437258929758,-16.850364940787305,4.167139048687237e-11,trial_040.csv
41,56.52366923988624,-59.944874416613295,1.0343153730291299e-09,trial_041.csv
42,-85.91182683590512,-73.79138506038448,8.77742339050262e-09,trial_042.csv
43,40.02468310736105,-6.862098554750271,6.037578726094227e-11,trial_043.csv
44,-60.97107977395168,0.1880595186054368,2.91999141997337e-10,trial_044.csv
45,-62.58382151162968,35.337667513992486,9.87639515018575e-10,trial_045.csv
46,-9.691870396674474,-21.416179302633154,5.707541117056678e-13,trial_046.csv
47,-35.72782395338222,23.450866761399922,1.4128207728579029e-10,trial_047.csv
48,-24.87373010038972,-74.22301452310182,5.3613145011784954e-11,trial_048.csv
49,-68.75893761830724,83.14157961891262,2.8497326567603485e-09,trial_049.csv
