t,th1,w1,th2,w2,energy
0.0,-1.1626358800896517,0.0,-0.07632522528702859,0.0,-0.3778245999073555
0.008333333333333333,-1.161079954149243,0.37354579022991935,-0.07720819366161617,-0.21236004317524484,-0.37782459990735573
0.016666666666666666,-1.1564059528001458,0.7485943166614587,-0.07987952921199655,-0.430113191109621,-0.3778245999073554
0.025,-1.148594747538568,1.1267589086321543,-0.08440701919702187,-0.658772761200111,-0.3778245999073562
0.03333333333333333,-1.1376128961132075,1.509882563910665,-0.09090535518259082,-0.9041069162344333,-0.37782459990735606
0.041666666666666664,-1.1234101738683888,1.900174953237983,-0.09953891720454877,-1.17230372108252,-0.3778245999073529
0.05,-1.105915849951022,2.3003787675535694,-0.1105261253626782,-1.4701858162196277,-0.3778245999073591
0.058333333333333334,-1.0850334064819285,2.7139797226690225,-0.12414586790301123,-1.805498494711201,-0.3778245999073554
0.06666666666666667,-1.0606332658917064,3.1454777285832525,-0.14074673369106752,-2.187299718594558,-0.37782459990734474
0.075,-1.032542938854896,3.6007375342116976,-0.160760021660409,-2.626480691460446,-0.37782459990736295
0.08333333333333333,-1.0005338832413913,4.087426449011576,-0.18471767738772524,-3.1364250097861373,-0.37782459990736217
0.09166666666666666,-0.9643044671813168,4.6154956607598585,-0.21327607481316926,-3.7337230703863904,-0.3778245999074128
0.1,-0.9234593948399956,5.197481792106645,-0.24724480860719508,-4.438543699069468,-0.3778245999070806
0.10833333333333334,-0.8774897583463374,5.847834042208664,-0.2876129729752969,-5.273274801718836,-0.37782459990762196
0.11666666666666667,-0.8257703163694614,6.578791935716791,-0.3355437956113709,-6.255145794745249,-0.3778245999094959
0.125,-0.7676265320264499,7.386110849584405,-0.3922464152837945,-7.371268976138398,-0.37782459990437756
0.13333333333333333,-0.7026060097311683,8.21205178785552,-0.45849218525132057,-8.514461317982905,-0.3778245999055363
0.14166666666666666,-0.6311589573117246,8.89030099672394,-0.5334234069800761,-9.388158635401071,-0.37782459988790573
0.15,-0.5555283346824634,9.180676424521478,-0.6130031607163089,-9.56720166674648,-0.3778245998984574
0.15833333333333333,-0.47947109019910217,9.005404322914478,-0.6904967235574241,-8.908198432229923,-0.3778245999118552
0.16666666666666666,-0.40622320208380086,8.547687845433153,-0.7600097615977149,-7.7228053291673,-0.37782459990806433
0.175,-0.3371857346270815,8.022245037034342,-0.8188003362686215,-6.382543181234037,-0.3778245999115171
0.18333333333333332,-0.2724029992435328,7.535998578001341,-0.8664937522661377,-5.076830113560475,-0.3778245999076751
0.19166666666666665,-0.21139735074232746,7.116617660895536,-0.9036670019780617,-3.8605178065525605,-0.37782459990754574
0.2,-0.1536190295009978,6.759508529618932,-0.931086449003652,-2.734066937476256,-0.37782459990834416
0.20833333333333334,-0.09860416094317384,6.4508820003548655,-0.9494442546942028,-1.6830288351222429,-0.37782459990811135
0.21666666666666667,-0.04601096915686681,6.175913688458369,-0.9593033816021204,-0.6920227643777037,-0.3778245999081271
0.225,0.0043834118549262585,5.92104590270595,-0.9611098498358017,0.2513885267156338,-0.37782459990813155
0.23333333333333334,0.05269573523136154,5.674366388404145,-0.955220455094729,1.156225862561357,-0.3778245999081243
0.24166666666666667,0.09894988631751006,5.425461549851741,-0.9419292872332717,2.0286415066360126,-0.37782459990811273
0.25,0.14308841992066984,5.165189775570621,-0.921488371874866,2.8727165714428953,-0.37782459990814093
0.2583333333333333,0.18498233318597257,4.885491307825431,-0.8941214920370508,3.691283548281779,-0.3778245999081234
0.26666666666666666,0.2244394446448823,4.579240641425343,-0.8600312496428857,4.486724055389833,-0.37782459990810646
0.275,0.26121162127769626,4.240111291153489,-0.8193995844423932,5.261743276678319,-0.3778245999081328
0.2833333333333333,0.29500078825814413,3.862411611208709,-0.7723818810897489,6.020137956372352,-0.37782459990812733
0.2916666666666667,0.32546329648374706,3.4408473788140927,-0.7190946129247779,6.7675852715928055,-0.37782459990811573
0.3,0.3522118502419741,2.970166094843429,-0.6595961795911547,7.512496677139696,-0.37782459990812434
0.30833333333333335,0.3748138205780804,2.4446378000529454,-0.5938601269626947,8.267006368536798,-0.37782459990812733
0.31666666666666665,0.39278440518285357,1.8573318249300788,-0.5217392405770634,9.048190600086386,-0.377824599908083
0.325,0.4055728558736505,1.199181229738406,-0.4429181909194477,9.879603959016075,-0.3778245999081401
0.3333333333333333,0.41254040497434413,0.45797639157956493,-0.3568522629881137,10.793026363451851,-0.37782459990817746
0.3416666666666667,0.4129316343315388,-0.3819789412646302,-0.26269350629437804,11.829404384745697,-0.37782459990882955
0.35,0.4058542937432239,-1.3366563134019764,-0.1592256923885156,13.034445851388485,-0.37782459990501926
0.35833333333333334,0.3903309733801606,-2.4055037683975677,-0.04490802290055125,14.432296466013252,-0.37782459991020034
0.36666666666666664,0.3656344874517114,-3.5138708058234824,0.08162241789579477,15.930868391739859,-0.37782459991002
0.375,0.33237472655583605,-4.39471737155237,0.21978896696499733,17.12051457364626,-0.37782459986526595
0.3833333333333333,0.2942551886729893,-4.616760886870833,0.36411853334712124,17.30642787481082,-0.3778245999398787
0.39166666666666666,0.2575660645831777,-4.09009565565757,0.5049340473614511,16.33980762336155,-0.3778245999092287
0.4,0.22705650938066563,-3.2093500550021834,0.6350400914087809,14.857263976782313,-0.3778245999003881
0.4083333333333333,0.20409151365630238,-2.3151659990877507,0.7526434979595392,13.393055867641237,-0.3778245999144496
0.4166666666666667,0.1881633557669439,-1.5283395305221372,0.85879601629386,12.11765664129079,-0.377824599910115
0.425,0.17827713518579844,-0.8638863718838002,0.9551394759264984,11.033840423736665,-0.37782459990975764
0.43333333333333335,0.17346384305505835,-0.30789111795889096,1.0431195547776801,10.103538734467058,-0.37782459991013595
0.44166666666666665,0.1728926472754717,0.15692734967752886,1.1238500463336574,9.288099345718843,-0.3778245999100902
0.45,0.1758667680646527,0.545120979473519,1.1981541607414492,8.55679009090501,-0.37782459991016715
0.4583333333333333,0.18179662538760005,0.867932613517958,1.2666329574617974,7.886796155872283,-0.3778245999100814
0.4666666666666667,0.19017474314712088,1.1339574037970097,1.329724674071236,7.261563771318863,-0.3778245999100946
0.475,0.20055692414579046,1.3499033694386844,1.3877500009569268,6.669196895789377,-0.37782459991011896
0.48333333333333334,0.21254918010971216,1.521198849525342,1.4409454591171398,6.101213658674852,-0.37782459991009343
0.49166666666666664,0.225798993645494,1.6524284382582042,1.4894878457467773,5.5516330383906025,-0.37782459991009587
0.5,0.23998960877773295,1.7476302912934285,1.5335121513405332,5.016307568051835,-0.37782459991010586
0.5083333333333333,0.25483635006899835,1.8104912874643284,1.5731246811134079,4.492429314950914,-0.3778245999100954
0.5166666666666666,0.27008424857028757,1.8444698285948073,1.6084125947951426,3.978157268674959,-0.37782459991009626
0.525,0.28550646993717094,1.852868769920929,1.6394507221364205,3.472331497021208,-0.3778245999101014
0.5333333333333333,0.30090320189453584,1.8388750924966435,1.6663062760004739,2.974251378746492,-0.37782459991009604
0.5416666666666666,0.3161007772529229,1.8055784834909587,1.6890419303408246,2.483502908452228,-0.3778245999100966
0.55,0.3309508954651185,1.7559776416895747,1.707717626629014,1.9998247822525719,-0.3778245999100989
0.5583333333333333,0.3453298680780174,1.6929805713712147,1.722391399176827,1.5230057555514618,-0.3778245999100964
0.5666666666666667,0.3591378570879071,1.619403164114661,1.7331194544929311,1.052807358296606,-0.37782459991009687
0.575,0.37229810449720596,1.5379688681027468,1.739955694633764,0.5889069543903972,-0.37782459991009754
0.5833333333333334,0.38475616980099525,1.451311127150169,1.742950835092222,0.13085665415640463,-0.3778245999100966
