model,n_chaos,horizon_median_s,horizon_mean_s,horizon_tau_L
ESN,32,0.29374999999999996,0.9553385416666668,0.38549868766404194
PINN,32,0.5062500000000001,0.9063802083333333,0.6643700787401576
Hybrid,32,2.166666666666667,2.408854166666667,2.8433945756780408
