tag,n,dur_s,b_visc,R2_visc,b_late,R2_late,n_late,b_drag,c_drag,R2_drag,frac_drag,E0
1430,11767,196.2,9.654133578342674e-05,0.9537998190480612,7.685767363145968e-05,0.9771079578510784,3286,3.577803551011858e-05,8.692601540090035e-06,0.978633979862253,0.6564626343824818,-0.16067837899474566
1431,11437,190.7,0.00010318290045964165,0.8621439449098485,3.568852936982139e-05,0.97831737740021,8592,-7.006764985370812e-05,2.6819310817198766e-05,0.9657012897801102,1.5144129065038776,-0.23882136582149702
1432,12397,206.7,9.62850506332101e-05,0.922453115399088,6.889672444968637e-05,0.9712206060513826,8736,-8.776621535628815e-06,1.5062237545431407e-05,0.9624565966744703,1.0786717467708253,-0.20564951190397435
1434,19654,327.7,5.6520754117430415e-05,0.953148905629753,4.525889748120481e-05,0.9817292397198223,8104,-2.5588604683180405e-06,1.047894574639237e-05,0.9836970065040266,1.0369470187418883,-0.25578653550439084
1435,16895,281.7,7.374841975059694e-05,0.9223970996517943,6.501480432574484e-05,0.9605773672222124,8411,-1.2840638047041568e-05,1.439192661059203e-05,0.980293909271452,1.1407594689647742,-0.2220267016753024
1436,9638,160.7,8.77882697319405e-05,0.933680208357084,5.527408472424741e-05,0.9518932956067385,5832,-1.2275412200899016e-05,1.4063871234947632e-05,0.9628149826019278,1.1240561977301506,-0.2651271707026266
1437,14976,249.7,5.790158890113329e-05,0.9859827607664945,5.3916277830935216e-05,0.9743141374457555,5279,2.5798285517119193e-05,5.95756503464986e-06,0.9909782121268284,0.5716232197813953,-0.3509665446297528
1438,11437,190.7,7.990976065419664e-05,0.8923836858758951,4.552463525836286e-05,0.960208837858368,7747,-4.040318081289662e-05,1.8377202708688418e-05,0.9505390455934729,1.4209138444886378,-0.31171817953465586
1439,17735,295.7,5.421653799386003e-05,0.9902667224286555,5.648728858401567e-05,0.9698268901400292,8322,3.18638708431614e-05,4.455915576253579e-06,0.9929073367920098,0.43145308355440964,-0.39466116472341806
1440,10957,182.7,7.346823838455095e-05,0.9733955834069665,5.2662027809262697e-05,0.956400589115493,5612,1.6454328346881485e-05,7.569112961482249e-06,0.9844057315145622,0.7895470369779409,-0.21957435420910804
1441,21993,366.7,7.752571408204985e-05,0.9947394786248632,7.876095080766175e-05,0.9957765022051397,11245,7.375132911353969e-05,1.1168096320717495e-06,0.9950047919517504,0.06905429305526956,-0.33608915554322905
1442,17433,290.7,5.858561190012387e-05,0.9623332115483441,5.064747290859677e-05,0.9731490556193019,8099,9.567357878222787e-06,8.896849522646539e-06,0.9880854935894563,0.8613385656678433,-0.31652697100082494
1443,16655,277.7,5.4731994399588505e-05,0.9829349295948666,4.997039860216554e-05,0.9702688685519666,5516,1.653072123360675e-05,6.939024015923611e-06,0.9917505146568493,0.7143631945812382,-0.32276104469943473
1444,12457,207.7,4.954524436937338e-05,0.9842166594549558,4.881330577077114e-05,0.9717498962528303,5475,2.1337066328804566e-05,6.487331644391125e-06,0.9875790384060177,0.5813438341756834,-0.49525215460898425
1445,17855,297.7,7.606946532009122e-05,0.9971031183477254,7.116741093364305e-05,0.9963237861236961,7929,5.22432214481117e-05,8.878264753304704e-06,0.9989903536874054,0.33254345076638614,-0.431452672461866
1446,16115,268.7,5.9831593392509395e-05,0.9741238534567279,5.385909786381917e-05,0.967845213269531,6996,1.090018848504576e-05,9.137054834113816e-06,0.9905260380658474,0.8402525181302658,-0.3344230170203701
