trial,th1_0_deg,th2_0_deg,E0,E_end,decay_ratio,file
0,49.3120887400734,-11.001880844630582,-0.4911788735186005,-0.5781380157225943,1.1770416988439563,trial_000.csv
1,64.54762558404884,35.526245230685504,-0.3566758479826859,-0.46497558019981594,1.3036362928122545,trial_001.csv
2,-73.04807738022309,85.61202329461607,-0.14817873481437124,-0.367298008520505,2.478749794838188,trial_002.csv
3,47.00514635826353,51.49157494985169,-0.4340696881077324,-0.5086619827205774,1.171844053285591,trial_003.csv
4,-66.93954611840174,-8.930531178797915,-0.37362548591976436,-0.4753693006558162,1.2723149746746698,trial_004.csv
5,-23.25635563813538,76.81769799274832,-0.4643469045513444,-0.6027839475892289,1.2981328004579753,trial_005.csv
6,25.895721614519616,58.09709038874939,-0.514853638967954,-0.5348225842334753,1.038785673741279,trial_006.csv
7,-10.185444211080398,-49.097030078740154,-0.5784016261097544,-0.5971771263970723,1.0324610088211528,trial_007.csv
8,9.825261662850265,-78.51289390124845,-0.4890401999728494,-0.5957976102191976,1.2182998662528668,trial_008.csv
9,58.97361095866477,23.699591841971674,-0.4158618610763909,-0.4989206550182065,1.1997268846121916,trial_009.csv
10,46.45579321536729,-26.185325736623692,-0.491441024793415,-0.5969832385220617,1.2147606903046262,trial_010.csv
11,84.7256443910826,70.76180183799559,-0.1069432957996351,-0.46744925420750855,4.371001012380465,trial_011.csv
12,50.10902947327714,-54.96503258664584,-0.40595991676120513,-0.5861070696650147,1.4437560100540079,trial_012.csv
13,-5.990219329133848,-82.11532215829882,-0.48102151129724074,-0.5676396300803355,1.180071195879575,trial_013.csv
14,-62.227891427841385,32.948811583641834,-0.3781886463817127,-0.5561956389200011,1.4706830684669014,trial_014.csv
15,44.05718806340708,84.15175183815781,-0.3481282580141023,-0.47946705960650693,1.3772713032306738,trial_015.csv
16,-31.351435535132648,-23.3172529137236,-0.5709253550498998,-0.5980675844692477,1.0475407672461412,trial_016.csv
17,-5.4799539703545745,-55.895155364828575,-0.564956296126303,-0.6003735817815989,1.0626903105570098,trial_017.csv
18,-66.61412903961511,-4.373113279331926,-0.3778245999073555,-0.49417124149124175,1.3079382380406543,trial_018.csv
19,-49.156317170840865,30.566519042851862,-0.4683376509692221,-0.5903361601425607,1.260492635859755,trial_019.csv
20,-11.312654602980468,59.88207529041074,-0.5465523576871781,-0.6194294134682007,1.133339568947087,trial_020.csv
21,36.04771836040484,-33.77400455123261,-0.5329964681639436,-0.6201143814357226,1.1634493256060048,trial_021.csv
22,59.80676425113619,54.857584349424336,-0.3430836494924809,-0.45643645700572866,1.3303940822622387,trial_022.csv
23,-20.2538917745686,-38.10094129255606,-0.5834329428679349,-0.5909525138751088,1.0128884923264885,trial_023.csv
24,32.84919071549559,-64.84455295032424,-0.4673055194007435,-0.6076383621275582,1.3003021297646402,trial_024.csv
25,-54.0165235544805,-88.67479144481901,-0.27275468591986674,-0.4531117754415913,1.6612428633937828,trial_025.csv
26,51.64638795038491,29.673154186565785,-0.4545964474160341,-0.5229201695826442,1.1502953279880828,trial_026.csv
27,36.929768152740316,50.53122558395422,-0.49024560201422873,-0.5131476069454036,1.0467153704940533,trial_027.csv
28,-7.395160403098808,12.373415271520873,-0.6453016592923947,-0.6506989883359228,1.0083640402373155,trial_028.csv
29,-64.83654033702166,-69.38458676352478,-0.2635274308485903,-0.4800902275480875,1.8217846468663192,trial_029.csv
30,30.312533122284897,-5.202682894236146,-0.5904622661364969,-0.6177759020295203,1.0462580548486893,trial_030.csv
31,11.742499166613989,47.69979433488461,-0.5796387892760747,-0.6045307341418423,1.0429438907924982,trial_031.csv
32,24.249297600106345,9.644292118439248,-0.6106174538975278,-0.6262136179174923,1.0255416282656438,trial_032.csv
33,10.657288934174439,-35.28898234872981,-0.6095665641513102,-0.6404698877370352,1.0506972091370386,trial_033.csv
34,-84.4527897777709,-11.390869938174774,-0.23745957482521,-0.4791309878315709,2.017737074549431,trial_034.csv
35,-51.37475889248474,-16.464844129565492,-0.47406576311205184,-0.5343377679729877,1.1271384891101908,trial_035.csv
36,63.6125531882699,-47.89089254423866,-0.33511323703929496,-0.5530734826563442,1.6504077473713503,trial_036.csv
37,-79.50550649596812,-39.35089943604063,-0.23564588727927865,-0.3966981230354524,1.6834502295611917,trial_037.csv
38,-37.153123601996946,29.14497265084111,-0.5360593838937884,-0.617556487287163,1.1520299911576997,trial_038.csv
39,10.265787421430101,51.10167763915443,-0.572994661096858,-0.6030311254466894,1.05242014697368,trial_039.csv
40,29.576437258929758,-16.850364940787305,-0.5857343355599289,-0.6279994247718916,1.0721574383573735,trial_040.csv
41,56.52366923988624,-59.944874416613295,-0.350553908580473,-0.5670686769616102,1.617636155471461,trial_041.csv
42,-85.91182683590512,-73.79138506038448,-0.087592861440531,-0.3564498080049046,4.069393351727725,trial_042.csv
43,40.02468310736105,-6.862098554750271,-0.5453491496351612,-0.5993999870374328,1.0991123529548577,trial_043.csv
44,-60.97107977395168,0.1880595186054368,-0.4187165210923629,-0.5196082560339178,1.2409547506707996,trial_044.csv
45,-62.58382151162968,35.337667513992486,-0.37106078663503317,-0.5658263922430942,1.5248886776053432,trial_045.csv
46,-9.691870396674474,-21.416179302633154,-0.6335471470188668,-0.6357432852821365,1.0034664164673515,trial_046.csv
47,-35.72782395338222,23.450866761399922,-0.5514838628594764,-0.6190009734130851,1.1224280801318982,trial_047.csv
48,-24.87373010038972,-74.22301452310182,-0.4677396938708732,-0.5271558379277961,1.127028227100447,trial_048.csv
49,-68.75893761830724,83.14157961891262,-0.18892317260744354,-0.5033299008590407,2.6642041519432413,trial_049.csv
