t,th1,w1,th2,w2,energy
0.0,0.5290535076037084,0.0,-0.09080394644160866,0.0,-0.5904622661364969
0.008333333333333333,0.5275876815778077,-0.3520279340836107,-0.08893378326361757,0.44925967043372217,-0.5904622835733155
0.016666666666666666,0.5231786521795898,-0.7068369929545993,-0.08330214611263176,0.9036099854086747,-0.5904624262379067
0.025,0.5157915058923407,-1.0672477501295865,-0.0738451929838966,1.368192047008147,-0.5904628804400687
0.03333333333333333,0.5053677812886657,-1.4360825926274015,-0.06045634223743794,1.8481039326183906,-0.5904639115955567
0.041666666666666664,0.49182582613124826,-1.8160541421987004,-0.042987359445292674,2.348188045788279,-0.5904658843483976
0.05,0.47506280296460346,-2.2094590317893497,-0.021252440388870076,2.872486785950292,-0.5904692895409586
0.058333333333333334,0.45496065034376443,-2.6174952954030615,0.0049607730970935605,3.423055321242253,-0.590474775051805
0.06666666666666667,0.43140031375947696,-3.038897544475793,0.03586586684703724,3.997606569100641,-0.5904831693732543
0.075,0.40429163656639877,-3.4674716144671978,0.07162535272119723,4.585268292838826,-0.5904954678232697
0.08333333333333333,0.37362945454446306,-3.8882822035939135,0.11225328067114704,5.160022983514396,-0.5905127163764479
0.09166666666666666,0.3395845583836721,-4.273454720212961,0.1574578100946369,5.673470930786535,-0.5905356917062702
0.1,0.3026184979916249,-4.581675142684807,0.20644253520168074,6.053928279325889,-0.5905643217109119
0.10833333333333334,0.2635625896256111,-4.768383583103194,0.2577689777740809,6.223913210187833,-0.5905970743728344
0.11666666666666667,0.2235591035855279,-4.807457957591858,0.3094559829671323,6.1374703002040745,-0.5906309625250334
0.125,0.18382630733247315,-4.707866570657896,0.35938292846745484,5.808992338013613,-0.5906625905866533
0.13333333333333333,0.14537630030340162,-4.50706532525212,0.40577615264868944,5.302150006048908,-0.5906895322774918
0.14166666666666666,0.108866483292001,-4.249026441331082,0.44746787358441864,4.692352157164693,-0.5907109050038543
0.15,0.0746217969413905,-3.9679717554642586,0.4838629214914281,4.038875811596439,-0.5907270214526186
0.15833333333333333,0.04273925121273107,-3.6845328501819337,0.5147642084354939,3.3782271178927097,-0.5907387640824284
0.16666666666666666,0.01319124491527238,-3.4086801530313564,0.5401996134800635,2.729066275473422,-0.590747131731942
0.175,-0.014102790131041803,-3.1437663047248567,0.5603023029287479,2.0990318355843494,-0.5907530209494
0.18333333333333332,-0.03923470887922203,-2.889541914634373,0.5752415460308823,1.4898104207815626,-0.5907571562409233
0.19166666666666665,-0.06228594605537976,-2.643977701030441,0.5851869860755471,0.9001723466304653,-0.5907600885567408
0.2,-0.08331725298706075,-2.4042545158549795,0.5902918407911889,0.32759100889464093,-0.5907622170845238
0.20833333333333334,-0.10236444890130425,-2.167264051853039,0.590685795542612,-0.23096962256883094,-0.5907638148265957
0.21666666666666667,-0.11943713494411318,-1.92984854099181,0.5864724223769975,-0.7787047263861626,-0.5907650740235093
0.225,-0.13451875772408936,-1.6888950629403854,0.5777284186477961,-1.3188705304093817,-0.5907662056134064
0.23333333333333334,-0.14756707223713028,-1.4413502178973239,0.5645029489869214,-1.8548298440189757,-0.5907674766712661
0.24166666666666667,-0.15851459606254284,-1.184206453196875,0.5468164290407228,-2.390136265260336,-0.5907692146847727
0.25,-0.16726887898165924,-0.9144740682617694,0.5246584999662735,-2.9286400912530843,-0.5907718152331739
0.2583333333333333,-0.17371253947603618,-0.6291565328428724,0.4979851284646516,-3.474586863669195,-0.5907757545651293
0.26666666666666666,-0.1777031920823766,-0.3252544621202544,0.4667150519634723,-4.032667050372315,-0.590781608186752
0.275,-0.17907367939898977,0.00015439285050011797,0.430726261294069,-4.607939626532351,-0.5907900766156954
