trial,esn,pinn,ratio
0,0.6041666666666666,1.7583333333333333,2.910344827586207
1,2.416666666666667,4.591666666666667,1.9
2,0.1041666666666666,0.1083333333333333,1.0400000000000003
3,1.625,2.645833333333333,1.628205128205128
4,0.3333333333333333,3.220833333333333,9.6625
5,0.4333333333333333,0.4125,0.951923076923077
6,10.0,2.8208333333333333,0.28208333333333335
7,10.0,1.3083333333333331,0.1308333333333333
8,0.15,0.4458333333333333,2.9722222222222223
9,2.4375,3.0666666666666664,1.258119658119658
10,0.2166666666666666,0.5666666666666667,2.6153846153846163
11,0.15,0.2041666666666666,1.3611111111111107
12,0.1333333333333333,0.15,1.1250000000000002
13,0.3666666666666667,2.825,7.704545454545454
14,0.1166666666666666,0.1583333333333333,1.3571428571428577
15,0.1333333333333333,1.8208333333333333,13.656250000000004
16,10.0,1.95,0.195
17,10.0,0.9541666666666666,0.09541666666666666
18,0.125,0.775,6.2
19,0.425,0.6291666666666667,1.4803921568627452
20,2.720833333333333,0.5208333333333334,0.19142419601837674
21,2.6416666666666666,0.6125,0.23186119873817038
22,0.2541666666666666,2.9208333333333334,11.491803278688527
23,10.0,3.2,0.32
24,0.8625,0.2291666666666666,0.26570048309178734
25,0.1083333333333333,0.4125,3.807692307692309
26,10.0,4.458333333333334,0.4458333333333334
27,10.0,4.9125,0.49124999999999996
28,10.0,2.0791666666666666,0.20791666666666667
29,0.0833333333333333,0.1666666666666666,2.0
30,10.0,1.2541666666666669,0.12541666666666668
31,10.0,1.5958333333333332,0.15958333333333333
32,10.0,2.225,0.2225
33,10.0,0.7833333333333333,0.07833333333333334
34,0.0166666666666666,0.0083333333333333,0.5
35,2.3291666666666666,5.8,2.4901610017889086
36,0.1124999999999999,0.175,1.5555555555555567
37,2.2125,0.4916666666666667,0.22222222222222224
38,0.9708333333333332,0.55,0.5665236051502147
39,10.0,1.1291666666666669,0.11291666666666669
40,10.0,1.4291666666666667,0.14291666666666666
41,0.375,0.025,0.06666666666666667
42,0.0958333333333333,0.175,1.8260869565217397
43,6.058333333333334,1.8541666666666663,0.3060522696011003
44,0.35,1.8875,5.392857142857143
45,0.1624999999999999,0.2208333333333333,1.3589743589743597
46,10.0,1.9541666666666664,0.19541666666666663
47,7.300000000000001,0.7416666666666667,0.10159817351598173
48,1.1208333333333331,2.283333333333333,2.0371747211895914
49,0.2083333333333333,0.0083333333333333,0.03999999999999985
