trial,th1_0_deg,th2_0_deg,lambda_max,tau_L
0,49.3120887400734,-11.001880844630582,1.5625559260454314,0.6399770935116756
1,64.54762558404884,35.526245230685504,0.5381802848995633,1.8581134018809753
2,-73.04807738022309,85.61202329461607,3.1309721679315485,0.3193896165038867
3,47.00514635826353,51.49157494985169,0.8586383987614369,1.1646346138752628
4,-66.93954611840174,-8.930531178797915,0.7938425394432618,1.259695657908835
5,-23.25635563813538,76.81769799274832,1.6292337544380173,0.6137854664967562
6,25.895721614519616,58.09709038874939,0.6534332030291633,1.5303783085466642
7,-10.185444211080398,-49.097030078740154,1.2069281056366348,0.8285497664109135
8,9.825261662850265,-78.51289390124845,1.3842254713291158,0.7224256602067961
9,58.97361095866477,23.69959184197167,0.16887979606040637,5.921371432982495
10,46.45579321536729,-26.185325736623692,1.8649310602012694,0.5362128506198384
11,84.7256443910826,70.76180183799559,1.2671830587870807,0.7891519643240635
12,50.10902947327714,-54.96503258664584,0.685395284693778,1.4590120800827826
13,-5.990219329133848,-82.11532215829882,1.4539021561471341,0.6878041935435444
14,-62.227891427841385,32.948811583641834,1.5144726619868951,0.6602958409880185
15,44.05718806340708,84.15175183815781,-0.201304361541877,
16,-31.351435535132648,-23.3172529137236,0.4598786003022021,2.1744869175101114
17,-5.4799539703545745,-55.895155364828575,1.3352754898927077,0.7489091259215371
18,-66.61412903961511,-4.373113279331926,1.1109725359241742,0.9001122599022121
19,-49.156317170840865,30.566519042851866,1.8278956840519753,0.5470771711563194
20,-11.312654602980468,59.88207529041074,1.3382413539424751,0.7472493635426734
21,36.04771836040484,-33.77400455123261,1.709694772717411,0.5848997235983748
22,59.80676425113619,54.857584349424336,1.504211671686777,0.6648000536245211
23,-20.2538917745686,-38.10094129255606,0.16981533196162357,5.888749787480846
24,32.84919071549559,-64.84455295032424,1.6363902526073795,0.6111011712558342
25,-54.0165235544805,-88.67479144481901,1.1208873721052723,0.8921502952805871
26,51.64638795038491,29.673154186565785,0.6884063536810123,1.4526304044883513
27,36.92976815274032,50.53122558395422,0.38195092423557,2.618137400770486
28,-7.395160403098808,12.373415271520871,0.8442707928482256,1.1844540975134383
29,-64.83654033702166,-69.38458676352478,2.2145641249283647,0.4515561273405652
30,30.312533122284897,-5.202682894236146,1.3570183952022996,0.7369096863649541
31,11.742499166613989,47.69979433488461,1.1718826373011295,0.8533277720566124
32,24.249297600106345,9.644292118439248,0.6064403485967319,1.6489667983239282
33,10.65728893417444,-35.28898234872981,1.4063341644889866,0.7110685534425352
34,-84.4527897777709,-11.390869938174774,1.3099449846333608,0.7633908383411148
35,-51.37475889248474,-16.464844129565492,0.5712425128918162,1.7505699898589016
36,63.6125531882699,-47.89089254423866,0.5837106064178014,1.7131777099904744
37,-79.50550649596812,-39.35089943604063,0.6330088919552911,1.5797566396123062
38,-37.153123601996946,29.14497265084111,1.6425544255682085,0.6088078327475025
39,10.2657874214301,51.10167763915443,1.2157335951105137,0.8225486274475265
40,29.57643725892976,-16.850364940787305,1.420696566651804,0.7038800708561775
41,56.52366923988624,-59.944874416613295,-0.42920856872231766,
42,-85.91182683590512,-73.79138506038448,1.5627558369531027,0.6398952263391926
43,40.02468310736105,-6.862098554750271,1.3145763262435635,0.7607013606106283
44,-60.97107977395168,0.1880595186054368,1.2903206114333334,0.7750011827596591
45,-62.58382151162968,35.337667513992486,1.3205801438636926,0.7572429470840338
46,-9.691870396674474,-21.416179302633154,0.1404286991896494,7.121051507067632
47,-35.72782395338222,23.45086676139992,1.4860333664640573,0.6729324001515864
48,-24.87373010038972,-74.22301452310182,1.3200544874098374,0.7575444873962464
49,-68.75893761830724,83.14157961891262,2.610002049640798,0.3831414615699728
