seed,trial,h_legacy,h_fixed,err0_legacy_deg,err0_fixed_deg
42,0,0.475,0.7666666666666667,3.365587545528634,0.001165339714769898
42,1,1.35,2.55,1.9356372134696282,0.00021722218875215143
42,2,0.08333333333333333,0.10833333333333334,0.8554424460158934,0.003053426167665188
42,3,2.316666666666667,6.208333333333333,1.3186472863755907,0.00023098455879617608
42,4,0.5,0.7666666666666667,3.077054383365155,0.0024136368157601264
42,5,0.7333333333333333,0.8333333333333334,2.123706309530996,0.00013661573622081568
42,6,10.0,10.0,1.8540370390381438,0.00011533910432697152
42,7,10.0,10.0,2.4055223118358904,3.1599998874302004e-05
42,8,0.09166666666666666,0.7666666666666667,0.5668044203114788,4.3521641406593066e-05
42,9,1.3416666666666666,4.916666666666667,0.9779944224916912,0.000456221154919808
42,10,0.20833333333333334,0.5666666666666667,2.01432753322521,0.0006336067855137454
42,11,0.1,0.13333333333333333,2.1252125891045828,0.0015248575354053664
42,12,0.09166666666666666,0.175,0.49240977345514275,0.000255913960171605
42,13,0.425,0.7166666666666667,1.0758556804177313,0.0009173465500170886
42,14,0.11666666666666667,0.8916666666666667,1.7664321317792575,0.0007369049501318539
42,15,0.13333333333333333,0.35,3.8640329104949007,0.0005952799251868082
42,16,10.0,10.0,2.1880185420227476,6.951462840613764e-05
42,17,10.0,10.0,1.6451725660874037,0.0002375385354895632
42,18,0.13333333333333333,0.175,2.21645428724361,0.0011030019350751219
42,19,0.55,0.625,6.580135703276014,0.0021482001751593357
42,20,1.6833333333333333,2.316666666666667,3.978555340558865,0.0005707913801274833
42,21,10.0,10.0,4.8993205225711245,0.00017042264010087456
42,22,0.08333333333333333,0.9666666666666667,2.323713603029514,0.00021216243873136908
42,23,10.0,10.0,1.385815663067149,0.00011654209422161136
42,24,0.25833333333333336,10.0,2.64858478649027,0.00019865471639245942
42,25,0.058333333333333334,0.1,1.3759335977333578,0.00043215974465856755
42,26,10.0,10.0,2.4231446410986943,0.00016269065665509684
42,27,10.0,10.0,1.7692312868401416,0.00016130990932127176
42,28,10.0,10.0,0.7163443774657562,0.0001256969390798344
42,29,0.058333333333333334,0.09166666666666666,1.6203117739436164,0.0017993889494349687
42,30,10.0,10.0,1.0975356885808085,0.00011104008084112684
42,31,10.0,10.0,1.0903404899375777,0.00022203691822993715
42,32,10.0,10.0,1.5263304368633905,0.0001311713454177255
42,33,10.0,10.0,2.5386514673935623,0.0001772031339615414
42,34,0.016666666666666666,0.23333333333333334,5.674356028164029,0.0013605591789077342
42,35,2.3333333333333335,10.0,1.7257131706558309,7.151747431575676e-05
42,36,0.2,0.20833333333333334,0.49749451799522076,0.0007981091516905093
42,37,10.0,10.0,1.5651161224164012,9.103698705802834e-05
42,38,4.033333333333333,10.0,0.42401103606130497,0.0004904599833544146
42,39,10.0,10.0,1.8096017304172267,8.313398904745488e-05
42,40,10.0,10.0,2.2814165297418163,5.127344633474975e-05
42,41,0.30833333333333335,0.35833333333333334,3.8858542108087097,0.0006520265150784494
42,42,0.125,0.2,2.4526660395431445,0.007228997833253499
42,43,10.0,10.0,0.6884727092518104,0.00014420044556217687
42,44,0.35833333333333334,0.4,4.780328242773723,0.003298066622664251
42,45,0.16666666666666666,0.2,2.014953530328095,0.0008144729941791574
42,46,10.0,10.0,0.66925337019734,4.536876670599745e-05
42,47,2.625,4.583333333333333,2.9867153729350218,0.00021673857364625814
42,48,2.0,2.191666666666667,0.2270905418114251,0.0010675835208665118
42,49,0.025,0.3416666666666667,4.635940017395893,0.0010067929046124007
7,0,0.7333333333333333,2.2,3.2420639935387983,0.0007832306011533797
7,1,3.4833333333333334,10.0,1.9695083244647433,0.00023304126552414032
7,2,0.10833333333333334,0.11666666666666667,0.8612196000444422,0.002948765646714361
7,3,1.6333333333333333,1.8333333333333333,1.3011756716369334,0.0005427336770475212
7,4,0.15,0.5,3.1001208419544914,0.001118445970198204
7,5,0.48333333333333334,0.7833333333333333,2.074510906240541,0.00034128741161244873
7,6,10.0,10.0,1.8113516588405953,0.00019137833877473146
7,7,3.825,10.0,2.3571766191948638,0.0002721500050625111
7,8,0.7666666666666667,2.066666666666667,0.6030574419531721,6.896602736810625e-05
7,9,3.158333333333333,6.891666666666667,0.9951340408226682,0.00041043585805993713
7,10,0.23333333333333334,2.191666666666667,2.0469428291127167,0.0002947947483218289
7,11,0.14166666666666666,0.16666666666666666,2.105811455262588,0.0014486828215775913
7,12,0.1,0.18333333333333332,0.5455826569405877,5.809746759375591e-05
