row,median,q25,q75,lo,hi,n,n_chaos_min,n_chaos_max,over_tauL,x_ESN_legacy,x_ESN_fixed,x_ESN_intersect
ESN_legacy(旧/错误),0.4041666666666667,0.23958333333333334,0.4583333333333333,0.16666666666666666,0.55,10,30,38,0.5304024496937882,1.0,0.5808383233532934,0.5808383233532934
ESN_fixed(修正),0.6958333333333333,0.5510416666666667,0.7,0.35833333333333334,1.275,10,25,33,0.913167104111986,1.7216494845360824,1.0,1.0
ESN_legacy(交集子集),0.30208333333333337,0.19375,0.3729166666666667,0.16666666666666666,0.44166666666666665,10,25,33,0.39643482064741914,0.7474226804123713,0.4341317365269462,0.4341317365269462
ESN_fixed(交集子集),0.6958333333333333,0.5510416666666667,0.7,0.35833333333333334,1.275,10,25,33,0.913167104111986,1.7216494845360824,1.0,1.0
PINN(λ=0.1)[冻结复用],0.875,0.7677083333333333,1.0333333333333332,0.6166666666666667,1.5041666666666669,8,-1,-1,1.1482939632545932,2.1649484536082473,1.25748502994012,1.25748502994012
MLP(λ=0)[冻结复用],1.5499999999999998,1.30625,1.6770833333333333,1.0291666666666668,1.8833333333333333,8,-1,-1,2.0341207349081363,3.8350515463917523,2.2275449101796405,2.2275449101796405
Hybrid[冻结复用],2.85,2.1177083333333333,3.2739583333333333,1.2999999999999998,3.591666666666667,8,-1,-1,3.7401574803149606,7.051546391752577,4.095808383233533,4.095808383233533
