tag,A_maxdiff,B_maxdiff,err0_legacy_deg,err0_naive_deg
1430,0.0,0.2674348082606449,0.24659560765287672,9.593267593963745
1431,0.0,3.1067423149298365,0.17645098352239752,6.634980461237477
1432,0.0,0.8519257828913157,0.6072706681830148,8.617513680407036
1434,0.0,0.2113852720147822,0.052872933076872845,7.055177725844633
1435,0.0,3.3324399004490504,0.1315923339953887,1.7084486920423576
1436,0.0,2.342123002159281,0.09369811076388203,5.762951407791791
1437,0.0,0.5022840637732342,0.05082721872906434,5.698977292865454
1438,0.0,0.7251744504906317,0.6110154774968498,10.89938236439273
1439,0.0,0.23572158561389123,0.16437561850324778,7.054420912484547
1440,0.0,0.24328637217255594,0.21108919056189415,11.092860124135822
1441,0.0,0.35977821737427473,0.23932466262323165,12.87234343048617
1442,0.0,1.0735146052877367,0.12138067951087594,12.259604975568033
1443,0.0,0.2508404286042552,0.2696269965672192,7.17815878504364
1444,0.0,0.16292703360357025,0.03996690992287899,4.542102900739419
1445,0.0,0.13982333765597185,0.04762040608388544,3.3018328049432593
1446,0.0,0.665254971970164,0.11691741662540343,8.149081275300029
1447,0.0,0.22138764212726386,0.016521105874285878,5.574447753440748
1448,0.0,0.3692754082364724,0.09135583470404804,5.402326219126237
1449,0.0,1.1846064203331532,0.34771033385854083,7.87447387987549
1450,0.0,2.5612039014247285,0.292519039616257,15.246190473260322
1451,0.0,0.39457055030435784,0.9241399648251454,7.586111867989728
1452,0.0,0.6606162865974025,0.12028613335397137,9.289691131876854
1453,0.0,0.08346069241400322,0.04949074109724859,4.425841142276452
1454,0.0,0.23316102169524577,0.13464757256419443,3.6097809990588394
1455,0.0,0.8011881880503012,0.49720813247493933,3.3976675734080724
1456,0.0,0.3895666020242524,0.024468897603912746,12.615372246345098
1458,0.0,0.37056009202885476,0.13720479199102092,3.986838366651427
1459,0.0,0.34759650686270716,0.07633960312543307,2.3849262303211076
1460,0.0,0.19524282446083235,0.09273085018208382,2.7570308537930432
