trial,esn_legacy,esn_fixed,esn_frozen,pinn,hybrid,lam0
0,0.6041666666666666,1.4833333333333334,0.6041666666666666,1.7583333333333333,1.9041666666666668,3.2125000000000004
1,2.416666666666667,10.0,2.416666666666667,4.591666666666667,10.0,10.0
2,0.10416666666666667,0.11666666666666667,0.1041666666666666,0.1083333333333333,1.625,0.625
3,1.625,1.8291666666666666,1.625,2.645833333333333,7.0875,6.754166666666666
4,0.3333333333333333,0.525,0.3333333333333333,3.220833333333333,3.2541666666666664,3.2625
5,0.43333333333333335,0.9541666666666666,0.4333333333333333,0.4125,1.9041666666666668,0.4625
6,10.0,10.0,10.0,2.8208333333333333,3.3666666666666667,1.7416666666666667
7,10.0,10.0,10.0,1.3083333333333331,7.216666666666667,1.6208333333333331
8,0.15,1.0416666666666665,0.15,0.4458333333333333,4.670833333333333,0.775
9,2.4375,5.9375,2.4375,3.0666666666666664,10.0,6.841666666666667
10,0.21666666666666667,1.3291666666666666,0.2166666666666666,0.5666666666666667,2.4833333333333334,2.0083333333333333
11,0.15,0.37916666666666665,0.15,0.2041666666666666,0.1916666666666666,0.1958333333333333
12,0.13333333333333333,0.7250000000000001,0.1333333333333333,0.15,0.175,0.5208333333333334
13,0.3666666666666667,0.7416666666666667,0.3666666666666667,2.825,3.65,3.7875
14,0.11666666666666667,0.4375,0.1166666666666666,0.1583333333333333,0.575,0.4708333333333333
15,0.13333333333333333,0.5916666666666667,0.1333333333333333,1.8208333333333333,2.7249999999999996,1.775
16,10.0,10.0,10.0,1.95,10.0,1.9333333333333331
17,10.0,10.0,10.0,0.9541666666666666,7.220833333333333,1.9458333333333333
18,0.125,0.17083333333333334,0.125,0.775,3.1916666666666664,0.7541666666666667
19,0.42500000000000004,0.8916666666666666,0.425,0.6291666666666667,1.6833333333333331,0.9541666666666666
20,2.720833333333333,4.345833333333333,2.720833333333333,0.5208333333333334,2.4291666666666667,2.1375
21,2.6416666666666666,10.0,2.6416666666666666,0.6125,4.970833333333333,1.8583333333333336
22,0.25416666666666665,0.8541666666666666,0.2541666666666666,2.9208333333333334,3.175,2.525
23,10.0,10.0,10.0,3.2,10.0,1.775
24,0.8625,8.133333333333333,0.8625,0.2291666666666666,0.6625,0.4625
25,0.10833333333333334,0.1125,0.1083333333333333,0.4125,1.025,0.1833333333333333
26,10.0,10.0,10.0,4.458333333333334,10.0,4.541666666666666
27,10.0,10.0,10.0,4.9125,10.0,4.145833333333333
28,10.0,10.0,10.0,2.0791666666666666,8.183333333333334,1.6666666666666663
29,0.08333333333333333,0.1125,0.0833333333333333,0.1666666666666666,0.1666666666666666,0.8083333333333333
30,10.0,10.0,10.0,1.2541666666666669,7.8375,1.525
31,10.0,10.0,10.0,1.5958333333333332,7.595833333333333,1.7333333333333334
32,10.0,10.0,10.0,2.225,10.0,1.5041666666666669
33,10.0,10.0,10.0,0.7833333333333333,6.1875,2.0083333333333333
34,0.016666666666666666,0.22083333333333333,0.0166666666666666,0.0083333333333333,0.0083333333333333,0.0083333333333333
35,2.3291666666666666,6.395833333333334,2.3291666666666666,5.8,10.0,4.5
36,0.11249999999999999,0.1375,0.1124999999999999,0.175,0.2083333333333333,0.2041666666666666
37,2.2125,10.0,2.2125,0.4916666666666667,4.5791666666666675,1.2666666666666666
38,0.9708333333333333,3.4291666666666667,0.9708333333333332,0.55,3.729166666666667,1.6166666666666667
39,10.0,10.0,10.0,1.1291666666666669,7.758333333333333,1.7125
40,10.0,10.0,10.0,1.4291666666666667,5.004166666666666,1.8
41,0.375,0.4291666666666667,0.375,0.025,0.0333333333333333,0.025
42,0.09583333333333333,0.14166666666666666,0.0958333333333333,0.175,0.3916666666666666,0.15
43,6.058333333333334,10.0,6.058333333333334,1.8541666666666663,8.633333333333333,2.3875
44,0.35,0.425,0.35,1.8875,3.2874999999999996,2.1291666666666664
45,0.16249999999999998,0.36666666666666664,0.1624999999999999,0.2208333333333333,0.9291666666666668,0.5291666666666667
46,10.0,10.0,10.0,1.9541666666666664,9.520833333333332,1.7166666666666668
47,7.300000000000001,10.0,7.300000000000001,0.7416666666666667,3.029166666666667,3.0125
48,1.1208333333333333,0.9166666666666666,1.1208333333333331,2.283333333333333,4.695833333333334,2.2583333333333333
49,0.20833333333333334,0.325,0.2083333333333333,0.0083333333333333,0.0083333333333333,0.0083333333333333
