variant,N_three,esn,pinn,lam0,hybrid,pinn_x,lam0_x,hybrid_x,N_two,esn_two,pinn_two,pinn_two_x
legacy(旧/错误),32,0.29374999999999996,0.5062500000000001,0.88125,2.166666666666667,1.7234042553191495,3.0000000000000004,7.375886524822697,35,0.35,0.55,1.5714285714285716
fixed(修正),28,0.5583333333333333,0.42916666666666664,0.7645833333333334,1.79375,0.7686567164179103,1.369402985074627,3.212686567164179,30,0.6583333333333334,0.48333333333333334,0.7341772151898733
同一子集(legacy定义),32,0.29374999999999996,0.5062500000000001,0.88125,2.166666666666667,1.7234042553191495,3.0000000000000004,7.375886524822697,-1,,,
同一子集(legacy定义)/ESN_fixed,32,0.7333333333333334,0.5062500000000001,0.88125,2.166666666666667,0.6903409090909092,1.2017045454545454,2.9545454545454546,-1,,,
