lam,seed,sim_chaos,sim_all,real
0.0,42,1.6958333333333333,1.6958333333333333,0.25010398825543234
0.0,7,1.0291666666666668,1.0833333333333335,0.38349222375728687
0.1,42,1.2916666666666665,1.2916666666666665,0.4168399295533476
0.1,7,0.775,0.7958333333333334,0.4335135796427494
0.3,42,0.9166666666666666,1.1166666666666667,0.3501450738653489
0.3,7,0.7291666666666666,0.7291666666666666,0.46686141418194893
0.5,42,0.9750000000000001,1.0666666666666667,0.4335135796427494
0.5,7,0.9125000000000001,0.9125000000000001,0.41683998042572057
1.0,42,1.2916666666666665,1.2916666666666665,0.4668603269234559
1.0,7,0.6041666666666666,0.6041666666666666,0.33347245189911945
