trial,horizon
0,1.6
1,10.0
2,1.65
3,8.041666666666666
4,3.2416666666666667
5,0.4666666666666667
6,3.0416666666666665
7,3.316666666666667
8,1.4166666666666667
9,10.0
10,1.2
11,0.19166666666666668
12,0.175
13,2.7
14,6.641666666666667
15,2.408333333333333
16,10.0
17,2.658333333333333
18,1.1166666666666667
19,1.9583333333333333
20,1.6916666666666667
21,4.666666666666667
22,6.441666666666666
23,2.558333333333333
24,0.2916666666666667
25,1.0333333333333334
26,10.0
27,8.633333333333333
28,3.091666666666667
29,0.16666666666666666
30,2.9166666666666665
31,3.3583333333333334
32,2.8333333333333335
33,2.3833333333333333
34,0.008333333333333333
35,10.0
36,0.20833333333333334
37,10.0
38,1.9416666666666667
39,3.3916666666666666
40,2.308333333333333
41,0.03333333333333333
42,0.39166666666666666
43,2.341666666666667
44,3.3
45,0.9333333333333333
46,1.1583333333333334
47,1.4833333333333334
48,3.091666666666667
49,0.008333333333333333
