epoch,L_data,L_phys
0,0.00399813197630768,4.067576442334797e-07
1,0.003982923961302731,4.008955715543531e-07
2,0.003976161298245036,6.911394561844494e-07
3,0.003983579061847801,8.457755669155631e-07
4,0.004016005948869861,1.014779449803882e-06
5,0.004130890835464622,8.914680028245433e-07
6,0.0040139365786065655,1.2699553479933456e-06
7,0.0039889876982973265,1.5962545537225499e-06
8,0.004066605237312615,1.3721336481845963e-06
9,0.004005485117280235,2.2276449035037635e-06
10,0.003954794536790966,3.7624177953906233e-06
11,0.0039461851653565345,1.2218111938485285e-05
12,0.0038467649234614023,2.655046917728517e-05
13,0.0037532483741718656,3.635172129179409e-05
14,0.00376508447273712,6.179936917760642e-05
15,0.0036267551622586325,9.975344467723819e-05
16,0.003309918004864206,0.00017706099030571446
17,0.0030761228135816054,0.0002811393436180272
18,0.002659428454838538,0.00038894282806722913
19,0.0025553259013880356,0.00047213090753454406
20,0.0023147503816289827,0.0004490294377319515
21,0.002095731021351336,0.0004712343761639204
22,0.0020310794922503797,0.0004600747536945467
23,0.0018664003303759575,0.000470471986773191
24,0.001765427020776163,0.0004571248985788164
25,0.0017935275827767327,0.00039367969414646115
26,0.0015823273170099128,0.0003638651251094416
27,0.0014641483636902801,0.0003466212316804255
28,0.001428277437905005,0.00033949130435454816
29,0.0013436180621890041,0.00028825800715518807
30,0.001284250805232053,0.00030355927447089925
31,0.0012705189146799967,0.0002463892251398647
32,0.0012329415015604657,0.00027632955789158586
33,0.0011809628958872054,0.00024073153751184387
34,0.0011320874570325639,0.00024106400208741738
35,0.0010568874204182066,0.0002582815583688595
36,0.0010242907289163365,0.0002206634174702534
37,0.0009649410130805336,0.00020650369697250426
38,0.0009350599842340065,0.00023420167114333404
39,0.0008785170405947914,0.00019728074100081963
40,0.000881718413438648,0.00021159933991536187
41,0.000856300871722245,0.00020575339112838265
42,0.0008299617778296428,0.00021135179486009292
43,0.0007545930287354471,0.00019460806470306125
44,0.0007301974558989363,0.00019795249742552792
45,0.0006766187016182812,0.00020114741831397018
46,0.0006563096940226387,0.00018564543158087568
47,0.0006623070294153877,0.00017904916239785962
48,0.0005916058077370204,0.0001627401652513072
49,0.0005698714418637488,0.00017557869917557886
50,0.0005624291067457913,0.0001813886428863043
51,0.0005571832825808087,0.00017157247263336708
52,0.0005245336700075617,0.0001748672154159673
53,0.00048589093967166264,0.00016372888724921117
54,0.00045479722090628155,0.00017553033709797697
55,0.00044100319185721065,0.00015170879548046892
56,0.0004656431968517912,0.00017118950321067436
57,0.00043610782631731126,0.00016801097202308787
58,0.0003905637410449951,0.00016584804022083213
59,0.00037342703035392333,0.0001619016362989593
60,0.00035246452716819476,0.00015943469194705054
61,0.0003354951422807062,0.0001624135478171714
62,0.00032463099584371474,0.0001664849881611493
63,0.0003258982408927598,0.00016420560738576265
64,0.00030767726942334167,0.00016016554794380985
65,0.0002911362595720372,0.00017007316667635072
66,0.0002744943770570292,0.0001436438463618591
67,0.000269112063809492,0.00016923484812044384
68,0.00025212352799523313,0.00015449818359532705
69,0.00024411925187450834,0.00016574652848551827
70,0.00023554376396835627,0.00015715018647218434
71,0.00023179312483989634,0.0001525831776234554
72,0.0002288063706146204,0.00016503593724337406
73,0.00021946994214279888,0.00017561285494593903
74,0.0002127046357903358,0.0001476535968928753
75,0.0002146706289446835,0.00016263088643124016
76,0.00019895637493997734,0.00015304258856000766
77,0.00019567130918100398,0.00015094813412967292
78,0.00018609888472080152,0.0001460552697002034
79,0.00018398503440645678,0.0001430324721998962
80,0.00017834367281466257,0.0001468303986863854
81,0.00017535648172876486,0.00015352261319397562
82,0.00018352601061148258,0.00014946810400336594
83,0.00017609856331546325,0.00015239641955607416
84,0.00016132417401119406,0.00015042222912597936
85,0.00015628984889796507,0.00014840530335883764
86,0.00015229030880921832,0.0001494083826401038
87,0.00015228936050940925,0.0001416497671016259
88,0.00014939581645497432,0.0001451491683231628
89,0.00015111691239629485,0.00014029483554622857
90,0.00014510154323943425,0.00015261028693203116
91,0.0001446054978562946,0.00014272056402357217
92,0.00013851017426228887,0.00014142657679864593
93,0.00014016171614154396,0.00014783258605651403
94,0.00013624928124045255,0.00015133928900468163
95,0.00014510374421661254,0.00013967198901809752
96,0.00013747162271708172,0.00014777453119071046
97,0.0001335187122701124,0.00015778471788507886
98,0.00013429816438777684,0.00013411684085440356
99,0.0001236190954235402,0.00014623005608882522
100,0.0001291626890633779,0.00014086266037338646
101,0.00012585998638314777,0.00014040092719369568
102,0.00012943778680588972,0.00013998894216153227
103,0.000122340604927255,0.00013359029344428563
104,0.00012092010759564194,0.00013787098214379512
105,0.00012649032820869857,0.0001440722010859948
106,0.0001247717197353874,0.0001413415075148805
107,0.00012209035139676416,0.00014463868228631327
108,0.00013094794333786316,0.00014744451709702844
109,0.00012759469685382405,0.00014136750633042539
110,0.00011835795551936219,0.00013572268956825914
111,0.00012018393545076833,0.00013391329684964148
112,0.00011491749804311742,0.0001346096869383473
113,0.00011481213884205015,0.00014093703915326236
114,0.00011288896151503043,0.00012849253531991658
115,0.00011089500003436115,0.00014125675140045738
116,0.00011300362484689686,0.00013708141068491386
117,0.00010992197076120647,0.00012339387164198948
118,0.00011531425540548905,0.00013211895505567858
119,0.00010890352905335021,0.0001304322998597248
120,0.00010894615873742926,0.00012300906140202036
121,0.0001087803272336411,0.00013753713089196631
122,0.00010811158790602349,0.00014021752152378517
123,0.00010553349799617233,0.00011465162909492695
124,0.00011221895692870021,0.00012491799103978943
125,0.00010607871035972494,0.00012964199807659801
126,0.00010723471435388394,0.00013638438940688502
127,0.00011060415317842853,0.00013674786866128366
128,0.00010640427065785237,0.0001414786805374509
129,0.0001040464009444501,0.00011885608546435833
130,0.00010226167584429884,0.00013287858079517415
131,0.00010216193019611335,0.00012972870293500213
132,0.00010414531758821492,0.0001130889325698566
133,0.0001001374465279999,0.00011640348050908263
134,9.977003840807204e-05,0.00012848507685703225
135,0.00010133990614728343,0.00014803329395363107
136,9.988066070339603e-05,0.00013088730520394165
137,0.00010190238875414555,0.00014194220936284788
138,9.730419909222594e-05,0.00012123506333712915
139,9.632806631998392e-05,0.0001307716011069715
140,9.986039625194583e-05,0.00011498312233015895
141,9.89829606320806e-05,0.0001376672198603046
142,9.959672433978994e-05,0.00012552793941722484
143,9.81071323925183e-05,0.00012594739306829675
144,9.865849854880555e-05,0.0001281821805605432
145,9.66043285188789e-05,0.00013871916265391823
146,9.575746980772237e-05,0.00012810453790734755
147,9.426938398367686e-05,0.00012363757923594676
148,9.578353486479803e-05,0.0001340486869594315
149,9.790228644609063e-05,0.000132276719341462
150,9.616868586211542e-05,0.0001182341229650774
151,9.764756047540384e-05,0.00011284454133904849
152,9.71363507839366e-05,0.00013858395747471755
153,9.404371318548026e-05,0.0001309619201492751
154,9.598930015878675e-05,0.0001262106588910683
155,9.54162181490877e-05,0.0001250971090485109
156,9.457532405576785e-05,0.00012910836206477447
157,9.626145644385058e-05,0.00013117638657907568
158,9.430195647534371e-05,0.00012656003703644578
159,9.420491445174169e-05,0.00013884610082944468
160,9.283237507891802e-05,0.00012945132493769052
161,9.351359570549296e-05,0.00012614799591877576
162,9.312054877833968e-05,0.00012268094330162663
163,9.286466653672203e-05,0.00013227269937488018
164,9.276921082346234e-05,0.00012747006439894903
165,9.221456533244539e-05,0.0001396353606348081
166,9.704473450256046e-05,0.0001318655498228812
167,9.269575987976471e-05,0.00012705443259619642
168,9.164412555643746e-05,0.00011981684368341423
169,9.256652689752325e-05,0.00012974943092558533
170,9.293480206906679e-05,0.00012018693360005273
171,9.024166638482711e-05,0.0001118173831855529
172,9.173848548016394e-05,0.00012193058379731762
173,9.322670469676571e-05,0.0001215307990302487
174,9.166702526878605e-05,0.00013357201047862569
175,9.061245979561743e-05,0.00010965521748100097
176,9.402541021093687e-05,0.00013027558088651858
177,9.001833692915777e-05,0.00011421730929820721
178,9.040942237940423e-05,0.00012309280176244405
179,9.660901757039635e-05,0.0001262363578765265
180,9.100302061900341e-05,0.00013149594754698532
181,9.531389408342268e-05,0.00013263979235489387
182,9.043411985961332e-05,0.00012449775840650545
183,9.09694907325805e-05,0.00013811672609638967
184,8.9731878991491e-05,0.00012339393939934476
185,9.073781029655947e-05,0.00012824460706421328
186,9.029531687095489e-05,0.00013274930491509926
187,9.127312629667965e-05,0.00011582395078827783
188,9.344388384609677e-05,0.00010637980388613262
189,9.037834161063074e-05,0.00013284569164776863
190,9.133743499963505e-05,0.00013400668831309304
191,9.115603870668565e-05,0.0001487077355098639
192,9.056929275175207e-05,0.00012136344018169136
193,8.92688741866247e-05,0.00013988538679162352
194,8.914322734199231e-05,0.00012424891307697786
195,9.143411004212491e-05,0.00012724721758180144
196,9.07794025503487e-05,0.00011450075119986043
197,9.061284208655707e-05,0.00012929677480618315
198,9.083363693207502e-05,0.0001337078080420421
199,9.085785238009218e-05,0.00013033045191453615
